"date","time","load_act"
"20160101","0000","7192"
"20160101","0030","7041"
"20160101","0100","6811"
"20160101","0130","6502"
"20160101","0200","6203"
"20160101","0230","6012"
"20160101","0300","5884"
"20160101","0330","5797"
"20160101","0400","5760"
"20160101","0430","5762"
"20160101","0500","5699"
"20160101","0530","5728"
"20160101","0600","5778"
"20160101","0630","5880"
"20160101","0700","6010"
"20160101","0730","6188"
"20160101","0800","6345"
"20160101","0830","6560"
"20160101","0900","6684"
"20160101","0930","6794"
"20160101","1000","6908"
"20160101","1030","6959"
"20160101","1100","7033"
"20160101","1130","7096"
"20160101","1200","7096"
"20160101","1230","7146"
"20160101","1300","7220"
"20160101","1330","7273"
"20160101","1400","7366"
"20160101","1430","7440"
"20160101","1500","7538"
"20160101","1530","7672"
"20160101","1600","7783"
"20160101","1630","7905"
"20160101","1700","7975"
"20160101","1730","7955"
"20160101","1800","7914"
"20160101","1830","7791"
"20160101","1900","7658"
"20160101","1930","7635"
"20160101","2000","7677"
"20160101","2030","7581"
"20160101","2100","7444"
"20160101","2130","7403"
"20160101","2200","7319"
"20160101","2230","7266"
"20160101","2300","7125"
"20160101","2330","6917"
"20160102","0000","6765"
"20160102","0030","6634"
"20160102","0100","6442"
"20160102","0130","6179"
"20160102","0200","5986"
"20160102","0230","5843"
"20160102","0300","5760"
"20160102","0330","5709"
"20160102","0400","5693"
"20160102","0430","5737"
"20160102","0500","5738"
"20160102","0530","5801"
"20160102","0600","5917"
"20160102","0630","6104"
"20160102","0700","6333"
"20160102","0730","6596"
"20160102","0800","6847"
"20160102","0830","7092"
"20160102","0900","7170"
"20160102","0930","7178"
"20160102","1000","7149"
"20160102","1030","7178"
"20160102","1100","7202"
"20160102","1130","7163"
"20160102","1200","7158"
"20160102","1230","7187"
"20160102","1300","7237"
"20160102","1330","7242"
"20160102","1400","7250"
"20160102","1430","7261"
"20160102","1500","7336"
"20160102","1530","7378"
"20160102","1600","7411"
"20160102","1630","7407"
"20160102","1700","7502"
"20160102","1730","7541"
"20160102","1800","7539"
"20160102","1830","7501"
"20160102","1900","7437"
"20160102","1930","7460"
"20160102","2000","7498"
"20160102","2030","7395"
"20160102","2100","7262"
"20160102","2130","7197"
"20160102","2200","7124"
"20160102","2230","7075"
"20160102","2300","6908"
"20160102","2330","6726"
"20160103","0000","6578"
"20160103","0030","6429"
"20160103","0100","6256"
"20160103","0130","6021"
"20160103","0200","5838"
"20160103","0230","5740"
"20160103","0300","5658"
"20160103","0330","5615"
"20160103","0400","5608"
"20160103","0430","5660"
"20160103","0500","5696"
"20160103","0530","5745"
"20160103","0600","5850"
"20160103","0630","6029"
"20160103","0700","6226"
"20160103","0730","6486"
"20160103","0800","6721"
"20160103","0830","6963"
"20160103","0900","7123"
"20160103","0930","7229"
"20160103","1000","7271"
"20160103","1030","7263"
"20160103","1100","7255"
"20160103","1130","7230"
"20160103","1200","7214"
"20160103","1230","7184"
"20160103","1300","7165"
"20160103","1330","7159"
"20160103","1400","7169"
"20160103","1430","7188"
"20160103","1500","7221"
"20160103","1530","7202"
"20160103","1600","7211"
"20160103","1630","7274"
"20160103","1700","7437"
"20160103","1730","7484"
"20160103","1800","7493"
"20160103","1830","7462"
"20160103","1900","7393"
"20160103","1930","7411"
"20160103","2000","7416"
"20160103","2030","7300"
"20160103","2100","7160"
"20160103","2130","7106"
"20160103","2200","6997"
"20160103","2230","6944"
"20160103","2300","6770"
"20160103","2330","6595"
"20160104","0000","6506"
"20160104","0030","6441"
"20160104","0100","6306"
"20160104","0130","6069"
"20160104","0200","5915"
"20160104","0230","5826"
"20160104","0300","5781"
"20160104","0330","5790"
"20160104","0400","5846"
"20160104","0430","6018"
"20160104","0500","6176"
"20160104","0530","6473"
"20160104","0600","6788"
"20160104","0630","7102"
"20160104","0700","7462"
"20160104","0730","7741"
"20160104","0800","7942"
"20160104","0830","8150"
"20160104","0900","8252"
"20160104","0930","8333"
"20160104","1000","8385"
"20160104","1030","8376"
"20160104","1100","8314"
"20160104","1130","8278"
"20160104","1200","8265"
"20160104","1230","8256"
"20160104","1300","8236"
"20160104","1330","8166"
"20160104","1400","8115"
"20160104","1430","8107"
"20160104","1500","8126"
"20160104","1530","8178"
"20160104","1600","8259"
"20160104","1630","8329"
"20160104","1700","8400"
"20160104","1730","8311"
"20160104","1800","8267"
"20160104","1830","8139"
"20160104","1900","7987"
"20160104","1930","7934"
"20160104","2000","7880"
"20160104","2030","7730"
"20160104","2100","7524"
"20160104","2130","7520"
"20160104","2200","7484"
"20160104","2230","7485"
"20160104","2300","7379"
"20160104","2330","7221"
"20160105","0000","7064"
"20160105","0030","6929"
"20160105","0100","6727"
"20160105","0130","6437"
"20160105","0200","6208"
"20160105","0230","6064"
"20160105","0300","6006"
"20160105","0330","5981"
"20160105","0400","6013"
"20160105","0430","6144"
"20160105","0500","6332"
"20160105","0530","6621"
"20160105","0600","6914"
"20160105","0630","7207"
"20160105","0700","7537"
"20160105","0730","7792"
"20160105","0800","8003"
"20160105","0830","8235"
"20160105","0900","8364"
"20160105","0930","8427"
"20160105","1000","8476"
"20160105","1030","8462"
"20160105","1100","8471"
"20160105","1130","8437"
"20160105","1200","8379"
"20160105","1230","8331"
"20160105","1300","8271"
"20160105","1330","8239"
"20160105","1400","8200"
"20160105","1430","8172"
"20160105","1500","8184"
"20160105","1530","8221"
"20160105","1600","8301"
"20160105","1630","8372"
"20160105","1700","8439"
"20160105","1730","8343"
"20160105","1800","8260"
"20160105","1830","8100"
"20160105","1900","8025"
"20160105","1930","8005"
"20160105","2000","7959"
"20160105","2030","7803"
"20160105","2100","7587"
"20160105","2130","7589"
"20160105","2200","7486"
"20160105","2230","7472"
"20160105","2300","7376"
"20160105","2330","7237"
"20160106","0000","7103"
"20160106","0030","6932"
"20160106","0100","6710"
"20160106","0130","6431"
"20160106","0200","6187"
"20160106","0230","6006"
"20160106","0300","5937"
"20160106","0330","5915"
"20160106","0400","5959"
"20160106","0430","6101"
"20160106","0500","6271"
"20160106","0530","6589"
"20160106","0600","6884"
"20160106","0630","7182"
"20160106","0700","7491"
"20160106","0730","7782"
"20160106","0800","7970"
"20160106","0830","8168"
"20160106","0900","8254"
"20160106","0930","8320"
"20160106","1000","8344"
"20160106","1030","8323"
"20160106","1100","8317"
"20160106","1130","8293"
"20160106","1200","8271"
"20160106","1230","8249"
"20160106","1300","8219"
"20160106","1330","8168"
"20160106","1400","8116"
"20160106","1430","8105"
"20160106","1500","8145"
"20160106","1530","8177"
"20160106","1600","8245"
"20160106","1630","8295"
"20160106","1700","8333"
"20160106","1730","8223"
"20160106","1800","8209"
"20160106","1830","8112"
"20160106","1900","8018"
"20160106","1930","7993"
"20160106","2000","7961"
"20160106","2030","7833"
"20160106","2100","7618"
"20160106","2130","7607"
"20160106","2200","7509"
"20160106","2230","7474"
"20160106","2300","7360"
"20160106","2330","7207"
"20160107","0000","7076"
"20160107","0030","6933"
"20160107","0100","6717"
"20160107","0130","6407"
"20160107","0200","6154"
"20160107","0230","6007"
"20160107","0300","5903"
"20160107","0330","5863"
"20160107","0400","5912"
"20160107","0430","6069"
"20160107","0500","6220"
"20160107","0530","6528"
"20160107","0600","6857"
"20160107","0630","7140"
"20160107","0700","7399"
"20160107","0730","7616"
"20160107","0800","7764"
"20160107","0830","7889"
"20160107","0900","7959"
"20160107","0930","7970"
"20160107","1000","7986"
"20160107","1030","7968"
"20160107","1100","7950"
"20160107","1130","7890"
"20160107","1200","7859"
"20160107","1230","7882"
"20160107","1300","7832"
"20160107","1330","7799"
"20160107","1400","7786"
"20160107","1430","7792"
"20160107","1500","7831"
"20160107","1530","7835"
"20160107","1600","7876"
"20160107","1630","7957"
"20160107","1700","8054"
"20160107","1730","8028"
"20160107","1800","8044"
"20160107","1830","7940"
"20160107","1900","7860"
"20160107","1930","7877"
"20160107","2000","7966"
"20160107","2030","7875"
"20160107","2100","7648"
"20160107","2130","7593"
"20160107","2200","7504"
"20160107","2230","7475"
"20160107","2300","7341"
"20160107","2330","7208"
"20160108","0000","7102"
"20160108","0030","6939"
"20160108","0100","6714"
"20160108","0130","6427"
"20160108","0200","6153"
"20160108","0230","5994"
"20160108","0300","5904"
"20160108","0330","5869"
"20160108","0400","5906"
"20160108","0430","6041"
"20160108","0500","6183"
"20160108","0530","6492"
"20160108","0600","6786"
"20160108","0630","7051"
"20160108","0700","7306"
"20160108","0730","7541"
"20160108","0800","7695"
"20160108","0830","7827"
"20160108","0900","7879"
"20160108","0930","7932"
"20160108","1000","7878"
"20160108","1030","7893"
"20160108","1100","7895"
"20160108","1130","7847"
"20160108","1200","7828"
"20160108","1230","7865"
"20160108","1300","7888"
"20160108","1330","7920"
"20160108","1400","7955"
"20160108","1430","7998"
"20160108","1500","8070"
"20160108","1530","8156"
"20160108","1600","8297"
"20160108","1630","8343"
"20160108","1700","8383"
"20160108","1730","8272"
"20160108","1800","8213"
"20160108","1830","8058"
"20160108","1900","8003"
"20160108","1930","7978"
"20160108","2000","8071"
"20160108","2030","7927"
"20160108","2100","7723"
"20160108","2130","7726"
"20160108","2200","7609"
"20160108","2230","7582"
"20160108","2300","7476"
"20160108","2330","7322"
"20160109","0000","7206"
"20160109","0030","7020"
"20160109","0100","6786"
"20160109","0130","6486"
"20160109","0200","6226"
"20160109","0230","6059"
"20160109","0300","5949"
"20160109","0330","5906"
"20160109","0400","5870"
"20160109","0430","5958"
"20160109","0500","5952"
"20160109","0530","6046"
"20160109","0600","6144"
"20160109","0630","6404"
"20160109","0700","6663"
"20160109","0730","6949"
"20160109","0800","7189"
"20160109","0830","7413"
"20160109","0900","7512"
"20160109","0930","7551"
"20160109","1000","7567"
"20160109","1030","7478"
"20160109","1100","7445"
"20160109","1130","7454"
"20160109","1200","7410"
"20160109","1230","7440"
"20160109","1300","7464"
"20160109","1330","7487"
"20160109","1400","7558"
"20160109","1430","7654"
"20160109","1500","7766"
"20160109","1530","7879"
"20160109","1600","7969"
"20160109","1630","7962"
"20160109","1700","8059"
"20160109","1730","8072"
"20160109","1800","8047"
"20160109","1830","7994"
"20160109","1900","7840"
"20160109","1930","7881"
"20160109","2000","7921"
"20160109","2030","7832"
"20160109","2100","7654"
"20160109","2130","7608"
"20160109","2200","7499"
"20160109","2230","7416"
"20160109","2300","7181"
"20160109","2330","6981"
"20160110","0000","6833"
"20160110","0030","6651"
"20160110","0100","6467"
"20160110","0130","6211"
"20160110","0200","6020"
"20160110","0230","5901"
"20160110","0300","5808"
"20160110","0330","5766"
"20160110","0400","5770"
"20160110","0430","5790"
"20160110","0500","5799"
"20160110","0530","5837"
"20160110","0600","5941"
"20160110","0630","6132"
"20160110","0700","6340"
"20160110","0730","6641"
"20160110","0800","6845"
"20160110","0830","7074"
"20160110","0900","7242"
"20160110","0930","7353"
"20160110","1000","7386"
"20160110","1030","7452"
"20160110","1100","7519"
"20160110","1130","7573"
"20160110","1200","7651"
"20160110","1230","7750"
"20160110","1300","7850"
"20160110","1330","7947"
"20160110","1400","8076"
"20160110","1430","8224"
"20160110","1500","8378"
"20160110","1530","8503"
"20160110","1600","8614"
"20160110","1630","8703"
"20160110","1700","8857"
"20160110","1730","8907"
"20160110","1800","8888"
"20160110","1830","8780"
"20160110","1900","8614"
"20160110","1930","8579"
"20160110","2000","8619"
"20160110","2030","8435"
"20160110","2100","8212"
"20160110","2130","8022"
"20160110","2200","7847"
"20160110","2230","7673"
"20160110","2300","7422"
"20160110","2330","7182"
"20160111","0000","7003"
"20160111","0030","6866"
"20160111","0100","6672"
"20160111","0130","6425"
"20160111","0200","6250"
"20160111","0230","6150"
"20160111","0300","6093"
"20160111","0330","6123"
"20160111","0400","6164"
"20160111","0430","6346"
"20160111","0500","6531"
"20160111","0530","6874"
"20160111","0600","7259"
"20160111","0630","7653"
"20160111","0700","8075"
"20160111","0730","8458"
"20160111","0800","8770"
"20160111","0830","9025"
"20160111","0900","9236"
"20160111","0930","9396"
"20160111","1000","9564"
"20160111","1030","9782"
"20160111","1100","9938"
"20160111","1130","10109"
"20160111","1200","10367"
"20160111","1230","10638"
"20160111","1300","10878"
"20160111","1330","11141"
"20160111","1400","11306"
"20160111","1430","11556"
"20160111","1500","11644"
"20160111","1530","11712"
"20160111","1600","11752"
"20160111","1630","11729"
"20160111","1700","11695"
"20160111","1730","11466"
"20160111","1800","11400"
"20160111","1830","11074"
"20160111","1900","10743"
"20160111","1930","10595"
"20160111","2000","10464"
"20160111","2030","10152"
"20160111","2100","9697"
"20160111","2130","9380"
"20160111","2200","8990"
"20160111","2230","8690"
"20160111","2300","8314"
"20160111","2330","8052"
"20160112","0000","7831"
"20160112","0030","7588"
"20160112","0100","7332"
"20160112","0130","7047"
"20160112","0200","6805"
"20160112","0230","6655"
"20160112","0300","6566"
"20160112","0330","6548"
"20160112","0400","6595"
"20160112","0430","6743"
"20160112","0500","6872"
"20160112","0530","7210"
"20160112","0600","7588"
"20160112","0630","8017"
"20160112","0700","8508"
"20160112","0730","8922"
"20160112","0800","9226"
"20160112","0830","9540"
"20160112","0900","9878"
"20160112","0930","10150"
"20160112","1000","10404"
"20160112","1030","10631"
"20160112","1100","10844"
"20160112","1130","11015"
"20160112","1200","11159"
"20160112","1230","11264"
"20160112","1300","11317"
"20160112","1330","11297"
"20160112","1400","11238"
"20160112","1430","11213"
"20160112","1500","11175"
"20160112","1530","11111"
"20160112","1600","10999"
"20160112","1630","10839"
"20160112","1700","10660"
"20160112","1730","10329"
"20160112","1800","10121"
"20160112","1830","9819"
"20160112","1900","9568"
"20160112","1930","9466"
"20160112","2000","9415"
"20160112","2030","9204"
"20160112","2100","8881"
"20160112","2130","8685"
"20160112","2200","8406"
"20160112","2230","8229"
"20160112","2300","7974"
"20160112","2330","7776"
"20160113","0000","7578"
"20160113","0030","7331"
"20160113","0100","7115"
"20160113","0130","6897"
"20160113","0200","6644"
