REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/02/01 00:05:00,7271.25,120.06,TRADE
NSW1,2023/02/01 00:10:00,7179.84,127.05,TRADE
NSW1,2023/02/01 00:15:00,7117.4,125.04,TRADE
NSW1,2023/02/01 00:20:00,7146.97,128,TRADE
NSW1,2023/02/01 00:25:00,7128.89,120.06,TRADE
NSW1,2023/02/01 00:30:00,7099.33,102.76,TRADE
NSW1,2023/02/01 00:35:00,7022.81,118,TRADE
NSW1,2023/02/01 00:40:00,7021.19,128,TRADE
NSW1,2023/02/01 00:45:00,6978.98,120,TRADE
NSW1,2023/02/01 00:50:00,6925.9,125.54,TRADE
NSW1,2023/02/01 00:55:00,6820.7,120,TRADE
NSW1,2023/02/01 01:00:00,6816.17,120,TRADE
NSW1,2023/02/01 01:05:00,6739.43,117.27,TRADE
NSW1,2023/02/01 01:10:00,6678.3,118.99,TRADE
NSW1,2023/02/01 01:15:00,6657.52,118.99,TRADE
NSW1,2023/02/01 01:20:00,6632.05,118.99,TRADE
NSW1,2023/02/01 01:25:00,6566.03,109.04,TRADE
NSW1,2023/02/01 01:30:00,6437.93,105.53,TRADE
NSW1,2023/02/01 01:35:00,6456.66,109.04,TRADE
NSW1,2023/02/01 01:40:00,6415.24,107.69,TRADE
NSW1,2023/02/01 01:45:00,6423.73,109.04,TRADE
NSW1,2023/02/01 01:50:00,6369.14,103.10,TRADE
NSW1,2023/02/01 01:55:00,6384.69,107.78,TRADE
NSW1,2023/02/01 02:00:00,6301.26,95.94,TRADE
NSW1,2023/02/01 02:05:00,6268.88,91.97,TRADE
NSW1,2023/02/01 02:10:00,6291.38,90.05,TRADE
NSW1,2023/02/01 02:15:00,6290.26,90.95,TRADE
NSW1,2023/02/01 02:20:00,6280.11,91.04,TRADE
NSW1,2023/02/01 02:25:00,6293.07,90.18,TRADE
NSW1,2023/02/01 02:30:00,6283.68,90.09,TRADE
NSW1,2023/02/01 02:35:00,6253.6,90.27,TRADE
NSW1,2023/02/01 02:40:00,6223.93,90.34,TRADE
NSW1,2023/02/01 02:45:00,6274.39,93.17,TRADE
NSW1,2023/02/01 02:50:00,6256.94,91.88,TRADE
NSW1,2023/02/01 02:55:00,6240.41,92.11,TRADE
NSW1,2023/02/01 03:00:00,6261.4,92.22,TRADE
NSW1,2023/02/01 03:05:00,6272.24,93.13,TRADE
NSW1,2023/02/01 03:10:00,6276.57,94.02,TRADE
NSW1,2023/02/01 03:15:00,6260.21,94.11,TRADE
NSW1,2023/02/01 03:20:00,6303.36,95,TRADE
NSW1,2023/02/01 03:25:00,6254.09,94.09,TRADE
NSW1,2023/02/01 03:30:00,6270.77,93.22,TRADE
NSW1,2023/02/01 03:35:00,6299.49,93.27,TRADE
NSW1,2023/02/01 03:40:00,6304.86,91.44,TRADE
NSW1,2023/02/01 03:45:00,6284.47,90.52,TRADE
NSW1,2023/02/01 03:50:00,6342.03,91.35,TRADE
NSW1,2023/02/01 03:55:00,6364.46,93.18,TRADE
NSW1,2023/02/01 04:00:00,6387.61,94.76,TRADE
NSW1,2023/02/01 04:05:00,6449.96,100.02,TRADE
NSW1,2023/02/01 04:10:00,6437.6,100.51,TRADE
NSW1,2023/02/01 04:15:00,6500.19,107.85,TRADE
NSW1,2023/02/01 04:20:00,6537.54,118.99,TRADE
NSW1,2023/02/01 04:25:00,6611.43,118.99,TRADE
NSW1,2023/02/01 04:30:00,6613.53,118.99,TRADE
NSW1,2023/02/01 04:35:00,6683.05,106.23,TRADE
NSW1,2023/02/01 04:40:00,6620.5,101.72,TRADE
NSW1,2023/02/01 04:45:00,6688.96,102.39,TRADE
NSW1,2023/02/01 04:50:00,6686.01,102.49,TRADE
NSW1,2023/02/01 04:55:00,6731.31,100.02,TRADE
NSW1,2023/02/01 05:00:00,6807.45,101.74,TRADE
NSW1,2023/02/01 05:05:00,6963.17,118.99,TRADE
NSW1,2023/02/01 05:10:00,7078.04,139.56,TRADE
NSW1,2023/02/01 05:15:00,7140.32,134.77,TRADE
NSW1,2023/02/01 05:20:00,7141.43,118.99,TRADE
NSW1,2023/02/01 05:25:00,7273.17,136.89,TRADE
NSW1,2023/02/01 05:30:00,7262.22,128,TRADE
NSW1,2023/02/01 05:35:00,7339.32,129.08,TRADE
NSW1,2023/02/01 05:40:00,7466.05,135.15,TRADE
NSW1,2023/02/01 05:45:00,7455.97,128.64,TRADE
NSW1,2023/02/01 05:50:00,7553.54,128,TRADE
NSW1,2023/02/01 05:55:00,7500.82,120.06,TRADE
NSW1,2023/02/01 06:00:00,7601.15,128,TRADE
NSW1,2023/02/01 06:05:00,7625.49,134.76,TRADE
NSW1,2023/02/01 06:10:00,7598.6,133.20,TRADE
NSW1,2023/02/01 06:15:00,7675.23,128,TRADE
NSW1,2023/02/01 06:20:00,7702.02,130.51,TRADE
NSW1,2023/02/01 06:25:00,7780.31,109.04,TRADE
NSW1,2023/02/01 06:30:00,7645.21,99.73,TRADE
NSW1,2023/02/01 06:35:00,7742.21,100.02,TRADE
NSW1,2023/02/01 06:40:00,7783.52,102.22,TRADE
NSW1,2023/02/01 06:45:00,7753.72,100.02,TRADE
NSW1,2023/02/01 06:50:00,7697.74,104.34,TRADE
NSW1,2023/02/01 06:55:00,7671.99,103.67,TRADE
NSW1,2023/02/01 07:00:00,7613.09,100.02,TRADE
NSW1,2023/02/01 07:05:00,7626.08,100.02,TRADE
NSW1,2023/02/01 07:10:00,7638.99,109.04,TRADE
NSW1,2023/02/01 07:15:00,7587.21,109,TRADE
NSW1,2023/02/01 07:20:00,7687.44,109.04,TRADE
NSW1,2023/02/01 07:25:00,7676.56,104.86,TRADE
NSW1,2023/02/01 07:30:00,7615.06,85.82,TRADE
NSW1,2023/02/01 07:35:00,7600.79,100.02,TRADE
NSW1,2023/02/01 07:40:00,7642.49,109.04,TRADE
NSW1,2023/02/01 07:45:00,7559.39,103.87,TRADE
NSW1,2023/02/01 07:50:00,7462.84,100.02,TRADE
NSW1,2023/02/01 07:55:00,7440.76,100.02,TRADE
NSW1,2023/02/01 08:00:00,7487.73,96.87,TRADE
NSW1,2023/02/01 08:05:00,7430.58,100.02,TRADE
NSW1,2023/02/01 08:10:00,7419.2,104.42,TRADE
NSW1,2023/02/01 08:15:00,7315.67,94.39,TRADE
NSW1,2023/02/01 08:20:00,7308.26,100.02,TRADE
NSW1,2023/02/01 08:25:00,7178.84,89,TRADE
NSW1,2023/02/01 08:30:00,7172.49,89,TRADE
NSW1,2023/02/01 08:35:00,7097.06,89,TRADE
NSW1,2023/02/01 08:40:00,7140.37,90.06,TRADE
NSW1,2023/02/01 08:45:00,7039.68,90.06,TRADE
NSW1,2023/02/01 08:50:00,7055.52,90.06,TRADE
NSW1,2023/02/01 08:55:00,7026.4,67.34,TRADE
NSW1,2023/02/01 09:00:00,7000.2,90.06,TRADE
NSW1,2023/02/01 09:05:00,6996.73,100.02,TRADE
NSW1,2023/02/01 09:10:00,6980.07,100.02,TRADE
NSW1,2023/02/01 09:15:00,6937.87,334.93,TRADE
NSW1,2023/02/01 09:20:00,6936.17,119.99,TRADE
NSW1,2023/02/01 09:25:00,6852.91,109,TRADE
NSW1,2023/02/01 09:30:00,6768.56,94.78,TRADE
NSW1,2023/02/01 09:35:00,6741.66,70.71,TRADE
NSW1,2023/02/01 09:40:00,6761.8,100.07,TRADE
NSW1,2023/02/01 09:45:00,6775.52,128.15,TRADE
NSW1,2023/02/01 09:50:00,6754.3,109,TRADE
NSW1,2023/02/01 09:55:00,6764.42,122.72,TRADE
NSW1,2023/02/01 10:00:00,6773.98,109.04,TRADE
NSW1,2023/02/01 10:05:00,6721.47,55.54,TRADE
NSW1,2023/02/01 10:10:00,6783.32,57.05,TRADE
NSW1,2023/02/01 10:15:00,6678.3,105.69,TRADE
NSW1,2023/02/01 10:20:00,6751.27,109,TRADE
NSW1,2023/02/01 10:25:00,6743.32,57.22,TRADE
NSW1,2023/02/01 10:30:00,6735.4,89,TRADE
NSW1,2023/02/01 10:35:00,6758.26,89,TRADE
NSW1,2023/02/01 10:40:00,6766.52,89,TRADE
NSW1,2023/02/01 10:45:00,6762.78,104.27,TRADE
NSW1,2023/02/01 10:50:00,6769.18,59.47,TRADE
NSW1,2023/02/01 10:55:00,6745.03,63.95,TRADE
NSW1,2023/02/01 11:00:00,6725.83,90.06,TRADE
NSW1,2023/02/01 11:05:00,6707.16,90.06,TRADE
NSW1,2023/02/01 11:10:00,6648.99,68.84,TRADE
NSW1,2023/02/01 11:15:00,6655.23,89,TRADE
NSW1,2023/02/01 11:20:00,6675.61,44.73,TRADE
NSW1,2023/02/01 11:25:00,6656.21,43.18,TRADE
NSW1,2023/02/01 11:30:00,6655.82,60.10,TRADE
NSW1,2023/02/01 11:35:00,6650.82,59.80,TRADE
NSW1,2023/02/01 11:40:00,6661.34,60.18,TRADE
NSW1,2023/02/01 11:45:00,6668.99,58.90,TRADE
NSW1,2023/02/01 11:50:00,6662.04,59.29,TRADE
NSW1,2023/02/01 11:55:00,6787.92,90.06,TRADE
NSW1,2023/02/01 12:00:00,6788.85,100.41,TRADE
NSW1,2023/02/01 12:05:00,6825.74,90.06,TRADE
NSW1,2023/02/01 12:10:00,6774.3,58.70,TRADE
NSW1,2023/02/01 12:15:00,6789.25,99.89,TRADE
NSW1,2023/02/01 12:20:00,6875.41,126.76,TRADE
NSW1,2023/02/01 12:25:00,6852.73,89,TRADE
NSW1,2023/02/01 12:30:00,6925.11,257.04,TRADE
NSW1,2023/02/01 12:35:00,6929.4,90.06,TRADE
NSW1,2023/02/01 12:40:00,6982.67,96,TRADE
NSW1,2023/02/01 12:45:00,6968.2,95.34,TRADE
NSW1,2023/02/01 12:50:00,7033.14,58.96,TRADE
NSW1,2023/02/01 12:55:00,7001.3,90.06,TRADE
NSW1,2023/02/01 13:00:00,7090.58,97.92,TRADE
NSW1,2023/02/01 13:05:00,7109.59,109,TRADE
NSW1,2023/02/01 13:10:00,7155.82,90.06,TRADE
NSW1,2023/02/01 13:15:00,7219.49,90.06,TRADE
NSW1,2023/02/01 13:20:00,7195.47,97.80,TRADE
NSW1,2023/02/01 13:25:00,7234.73,109,TRADE
NSW1,2023/02/01 13:30:00,7292.91,156.11,TRADE
NSW1,2023/02/01 13:35:00,7366.07,156.97,TRADE
NSW1,2023/02/01 13:40:00,7418.83,162.96,TRADE
NSW1,2023/02/01 13:45:00,7460.67,90.06,TRADE
NSW1,2023/02/01 13:50:00,7584.81,100.02,TRADE
NSW1,2023/02/01 13:55:00,7506.85,109,TRADE
NSW1,2023/02/01 14:00:00,7530.26,109.04,TRADE
NSW1,2023/02/01 14:05:00,7576.99,118,TRADE
NSW1,2023/02/01 14:10:00,7671.56,127.31,TRADE
NSW1,2023/02/01 14:15:00,7661.83,109.04,TRADE
NSW1,2023/02/01 14:20:00,7704.83,109.04,TRADE
NSW1,2023/02/01 14:25:00,7774.22,118,TRADE
NSW1,2023/02/01 14:30:00,7887.05,122.72,TRADE
NSW1,2023/02/01 14:35:00,7896.92,109.04,TRADE
NSW1,2023/02/01 14:40:00,7937.73,118,TRADE
NSW1,2023/02/01 14:45:00,8035.65,109.04,TRADE
NSW1,2023/02/01 14:50:00,8093.41,232.39,TRADE
NSW1,2023/02/01 14:55:00,8073.6,118,TRADE
NSW1,2023/02/01 15:00:00,8254.5,128,TRADE
NSW1,2023/02/01 15:05:00,8336.28,56.68,TRADE
NSW1,2023/02/01 15:10:00,8350.97,109,TRADE
NSW1,2023/02/01 15:15:00,8352.59,109,TRADE
NSW1,2023/02/01 15:20:00,8421.69,120.51,TRADE
NSW1,2023/02/01 15:25:00,8555.57,118,TRADE
NSW1,2023/02/01 15:30:00,8580.56,109.04,TRADE
NSW1,2023/02/01 15:35:00,8571.15,93.62,TRADE
NSW1,2023/02/01 15:40:00,8716.73,104.98,TRADE
NSW1,2023/02/01 15:45:00,8748.68,162.34,TRADE
NSW1,2023/02/01 15:50:00,8852.04,162.26,TRADE
NSW1,2023/02/01 15:55:00,8849.88,118,TRADE
NSW1,2023/02/01 16:00:00,8974.29,157.17,TRADE
NSW1,2023/02/01 16:05:00,9050.22,118,TRADE
NSW1,2023/02/01 16:10:00,9036.7,62.89,TRADE
NSW1,2023/02/01 16:15:00,9163.55,92.60,TRADE
NSW1,2023/02/01 16:20:00,9164.43,100.02,TRADE
NSW1,2023/02/01 16:25:00,9310.09,93.73,TRADE
NSW1,2023/02/01 16:30:00,9418.85,103.43,TRADE
NSW1,2023/02/01 16:35:00,9448.37,100.02,TRADE
NSW1,2023/02/01 16:40:00,9475.54,95.08,TRADE
NSW1,2023/02/01 16:45:00,9629.45,107.84,TRADE
NSW1,2023/02/01 16:50:00,9689.66,111.98,TRADE
NSW1,2023/02/01 16:55:00,9775.88,91.85,TRADE
NSW1,2023/02/01 17:00:00,9854.8,94.61,TRADE
NSW1,2023/02/01 17:05:00,9762.66,66.69,TRADE
NSW1,2023/02/01 17:10:00,9787.33,89.99,TRADE
NSW1,2023/02/01 17:15:00,9790.52,89,TRADE
NSW1,2023/02/01 17:20:00,9817.34,91.58,TRADE
NSW1,2023/02/01 17:25:00,9877.26,95.33,TRADE
NSW1,2023/02/01 17:30:00,9841.04,158.23,TRADE
NSW1,2023/02/01 17:35:00,9908.92,89.99,TRADE
