"date","time","load_act"
"20160101","0000","1932"
"20160101","0030","1808"
"20160101","0100","1730"
"20160101","0130","1646"
"20160101","0200","1580"
"20160101","0230","1517"
"20160101","0300","1467"
"20160101","0330","1426"
"20160101","0400","1410"
"20160101","0430","1403"
"20160101","0500","1383"
"20160101","0530","1384"
"20160101","0600","1380"
"20160101","0630","1363"
"20160101","0700","1355"
"20160101","0730","1355"
"20160101","0800","1337"
"20160101","0830","1335"
"20160101","0900","1359"
"20160101","0930","1359"
"20160101","1000","1380"
"20160101","1030","1391"
"20160101","1100","1421"
"20160101","1130","1455"
"20160101","1200","1491"
"20160101","1230","1535"
"20160101","1300","1562"
"20160101","1330","1595"
"20160101","1400","1630"
"20160101","1430","1648"
"20160101","1500","1676"
"20160101","1530","1717"
"20160101","1600","1777"
"20160101","1630","1829"
"20160101","1700","1841"
"20160101","1730","1828"
"20160101","1800","1787"
"20160101","1830","1746"
"20160101","1900","1703"
"20160101","1930","1665"
"20160101","2000","1622"
"20160101","2030","1605"
"20160101","2100","1596"
"20160101","2130","1558"
"20160101","2200","1518"
"20160101","2230","1451"
"20160101","2300","1441"
"20160101","2330","1408"
"20160102","0000","1625"
"20160102","0030","1504"
"20160102","0100","1418"
"20160102","0130","1353"
"20160102","0200","1303"
"20160102","0230","1276"
"20160102","0300","1264"
"20160102","0330","1253"
"20160102","0400","1253"
"20160102","0430","1240"
"20160102","0500","1245"
"20160102","0530","1250"
"20160102","0600","1254"
"20160102","0630","1253"
"20160102","0700","1271"
"20160102","0730","1271"
"20160102","0800","1233"
"20160102","0830","1217"
"20160102","0900","1202"
"20160102","0930","1178"
"20160102","1000","1147"
"20160102","1030","1115"
"20160102","1100","1096"
"20160102","1130","1075"
"20160102","1200","1080"
"20160102","1230","1106"
"20160102","1300","1123"
"20160102","1330","1139"
"20160102","1400","1185"
"20160102","1430","1187"
"20160102","1500","1223"
"20160102","1530","1264"
"20160102","1600","1304"
"20160102","1630","1362"
"20160102","1700","1411"
"20160102","1730","1479"
"20160102","1800","1538"
"20160102","1830","1572"
"20160102","1900","1585"
"20160102","1930","1585"
"20160102","2000","1575"
"20160102","2030","1584"
"20160102","2100","1590"
"20160102","2130","1571"
"20160102","2200","1531"
"20160102","2230","1495"
"20160102","2300","1471"
"20160102","2330","1446"
"20160103","0000","1652"
"20160103","0030","1558"
"20160103","0100","1478"
"20160103","0130","1396"
"20160103","0200","1353"
"20160103","0230","1329"
"20160103","0300","1293"
"20160103","0330","1220"
"20160103","0400","1257"
"20160103","0430","1253"
"20160103","0500","1248"
"20160103","0530","1255"
"20160103","0600","1245"
"20160103","0630","1238"
"20160103","0700","1249"
"20160103","0730","1255"
"20160103","0800","1237"
"20160103","0830","1207"
"20160103","0900","1214"
"20160103","0930","1196"
"20160103","1000","1196"
"20160103","1030","1179"
"20160103","1100","1164"
"20160103","1130","1157"
"20160103","1200","1161"
"20160103","1230","1161"
"20160103","1300","1158"
"20160103","1330","1175"
"20160103","1400","1210"
"20160103","1430","1241"
"20160103","1500","1283"
"20160103","1530","1322"
"20160103","1600","1371"
"20160103","1630","1410"
"20160103","1700","1444"
"20160103","1730","1495"
"20160103","1800","1539"
"20160103","1830","1582"
"20160103","1900","1587"
"20160103","1930","1579"
"20160103","2000","1560"
"20160103","2030","1560"
"20160103","2100","1550"
"20160103","2130","1517"
"20160103","2200","1464"
"20160103","2230","1434"
"20160103","2300","1414"
"20160103","2330","1376"
"20160104","0000","1569"
"20160104","0030","1477"
"20160104","0100","1405"
"20160104","0130","1359"
"20160104","0200","1278"
"20160104","0230","1283"
"20160104","0300","1266"
"20160104","0330","1249"
"20160104","0400","1247"
"20160104","0430","1248"
"20160104","0500","1274"
"20160104","0530","1298"
"20160104","0600","1323"
"20160104","0630","1351"
"20160104","0700","1415"
"20160104","0730","1460"
"20160104","0800","1442"
"20160104","0830","1463"
"20160104","0900","1473"
"20160104","0930","1464"
"20160104","1000","1457"
"20160104","1030","1431"
"20160104","1100","1412"
"20160104","1130","1427"
"20160104","1200","1451"
"20160104","1230","1481"
"20160104","1300","1516"
"20160104","1330","1560"
"20160104","1400","1632"
"20160104","1430","1682"
"20160104","1500","1733"
"20160104","1530","1783"
"20160104","1600","1841"
"20160104","1630","1892"
"20160104","1700","1905"
"20160104","1730","1903"
"20160104","1800","1917"
"20160104","1830","1927"
"20160104","1900","1901"
"20160104","1930","1861"
"20160104","2000","1800"
"20160104","2030","1774"
"20160104","2100","1758"
"20160104","2130","1708"
"20160104","2200","1664"
"20160104","2230","1615"
"20160104","2300","1577"
"20160104","2330","1528"
"20160105","0000","1717"
"20160105","0030","1588"
"20160105","0100","1494"
"20160105","0130","1418"
"20160105","0200","1361"
"20160105","0230","1323"
"20160105","0300","1306"
"20160105","0330","1284"
"20160105","0400","1280"
"20160105","0430","1293"
"20160105","0500","1306"
"20160105","0530","1334"
"20160105","0600","1364"
"20160105","0630","1399"
"20160105","0700","1468"
"20160105","0730","1520"
"20160105","0800","1498"
"20160105","0830","1504"
"20160105","0900","1510"
"20160105","0930","1490"
"20160105","1000","1486"
"20160105","1030","1483"
"20160105","1100","1482"
"20160105","1130","1501"
"20160105","1200","1511"
"20160105","1230","1519"
"20160105","1300","1537"
"20160105","1330","1553"
"20160105","1400","1583"
"20160105","1430","1605"
"20160105","1500","1628"
"20160105","1530","1653"
"20160105","1600","1695"
"20160105","1630","1753"
"20160105","1700","1787"
"20160105","1730","1816"
"20160105","1800","1848"
"20160105","1830","1870"
"20160105","1900","1877"
"20160105","1930","1844"
"20160105","2000","1808"
"20160105","2030","1782"
"20160105","2100","1768"
"20160105","2130","1712"
"20160105","2200","1650"
"20160105","2230","1580"
"20160105","2300","1533"
"20160105","2330","1489"
"20160106","0000","1687"
"20160106","0030","1562"
"20160106","0100","1468"
"20160106","0130","1394"
"20160106","0200","1349"
"20160106","0230","1322"
"20160106","0300","1299"
"20160106","0330","1280"
"20160106","0400","1283"
"20160106","0430","1293"
"20160106","0500","1314"
"20160106","0530","1342"
"20160106","0600","1369"
"20160106","0630","1398"
"20160106","0700","1460"
"20160106","0730","1501"
"20160106","0800","1498"
"20160106","0830","1497"
"20160106","0900","1484"
"20160106","0930","1458"
"20160106","1000","1429"
"20160106","1030","1420"
"20160106","1100","1428"
"20160106","1130","1435"
"20160106","1200","1448"
"20160106","1230","1455"
"20160106","1300","1481"
"20160106","1330","1506"
"20160106","1400","1526"
"20160106","1430","1553"
"20160106","1500","1584"
"20160106","1530","1612"
"20160106","1600","1655"
"20160106","1630","1694"
"20160106","1700","1731"
"20160106","1730","1768"
"20160106","1800","1776"
"20160106","1830","1785"
"20160106","1900","1763"
"20160106","1930","1730"
"20160106","2000","1692"
"20160106","2030","1670"
"20160106","2100","1659"
"20160106","2130","1624"
"20160106","2200","1579"
"20160106","2230","1526"
"20160106","2300","1491"
"20160106","2330","1458"
"20160107","0000","1671"
"20160107","0030","1567"
"20160107","0100","1478"
"20160107","0130","1404"
"20160107","0200","1353"
"20160107","0230","1326"
"20160107","0300","1307"
"20160107","0330","1291"
"20160107","0400","1283"
"20160107","0430","1286"
"20160107","0500","1299"
"20160107","0530","1327"
"20160107","0600","1362"
"20160107","0630","1403"
"20160107","0700","1463"
"20160107","0730","1506"
"20160107","0800","1498"
"20160107","0830","1496"
"20160107","0900","1485"
"20160107","0930","1459"
"20160107","1000","1441"
"20160107","1030","1414"
"20160107","1100","1401"
"20160107","1130","1396"
"20160107","1200","1428"
"20160107","1230","1460"
"20160107","1300","1492"
"20160107","1330","1524"
"20160107","1400","1568"
"20160107","1430","1599"
"20160107","1500","1634"
"20160107","1530","1666"
"20160107","1600","1705"
"20160107","1630","1742"
"20160107","1700","1775"
"20160107","1730","1794"
"20160107","1800","1801"
"20160107","1830","1801"
"20160107","1900","1779"
"20160107","1930","1752"
"20160107","2000","1699"
"20160107","2030","1682"
"20160107","2100","1664"
"20160107","2130","1613"
"20160107","2200","1565"
"20160107","2230","1509"
"20160107","2300","1470"
"20160107","2330","1442"
"20160108","0000","1660"
"20160108","0030","1548"
"20160108","0100","1452"
"20160108","0130","1372"
"20160108","0200","1311"
"20160108","0230","1280"
"20160108","0300","1256"
"20160108","0330","1242"
"20160108","0400","1245"
"20160108","0430","1261"
"20160108","0500","1276"
"20160108","0530","1303"
"20160108","0600","1352"
"20160108","0630","1392"
"20160108","0700","1447"
"20160108","0730","1487"
"20160108","0800","1460"
"20160108","0830","1441"
"20160108","0900","1402"
"20160108","0930","1370"
"20160108","1000","1348"
"20160108","1030","1332"
"20160108","1100","1319"
"20160108","1130","1330"
"20160108","1200","1337"
"20160108","1230","1350"
"20160108","1300","1381"
"20160108","1330","1418"
"20160108","1400","1474"
"20160108","1430","1449"
"20160108","1500","1486"
"20160108","1530","1524"
"20160108","1600","1572"
"20160108","1630","1628"
"20160108","1700","1677"
"20160108","1730","1726"
"20160108","1800","1741"
"20160108","1830","1748"
"20160108","1900","1718"
"20160108","1930","1687"
"20160108","2000","1674"
"20160108","2030","1669"
"20160108","2100","1665"
"20160108","2130","1622"
"20160108","2200","1571"
"20160108","2230","1514"
"20160108","2300","1467"
"20160108","2330","1442"
"20160109","0000","1641"
"20160109","0030","1521"
"20160109","0100","1435"
"20160109","0130","1354"
"20160109","0200","1293"
"20160109","0230","1269"
"20160109","0300","1255"
"20160109","0330","1248"
"20160109","0400","1237"
"20160109","0430","1222"
"20160109","0500","1217"
"20160109","0530","1224"
"20160109","0600","1230"
"20160109","0630","1244"
"20160109","0700","1278"
"20160109","0730","1309"
"20160109","0800","1293"
"20160109","0830","1283"
"20160109","0900","1271"
"20160109","0930","1255"
"20160109","1000","1250"
"20160109","1030","1251"
"20160109","1100","1267"
"20160109","1130","1290"
"20160109","1200","1328"
"20160109","1230","1361"
"20160109","1300","1404"
"20160109","1330","1460"
"20160109","1400","1516"
"20160109","1430","1542"
"20160109","1500","1607"
"20160109","1530","1678"
"20160109","1600","1735"
"20160109","1630","1770"
"20160109","1700","1800"
"20160109","1730","1839"
"20160109","1800","1863"
"20160109","1830","1922"
"20160109","1900","1920"
"20160109","1930","1896"
"20160109","2000","1862"
"20160109","2030","1835"
"20160109","2100","1829"
"20160109","2130","1771"
"20160109","2200","1708"
"20160109","2230","1660"
"20160109","2300","1618"
"20160109","2330","1565"
"20160110","0000","1755"
"20160110","0030","1628"
"20160110","0100","1532"
"20160110","0130","1432"
"20160110","0200","1375"
"20160110","0230","1336"
"20160110","0300","1307"
"20160110","0330","1291"
"20160110","0400","1274"
"20160110","0430","1266"
"20160110","0500","1259"
"20160110","0530","1262"
"20160110","0600","1253"
"20160110","0630","1248"
"20160110","0700","1256"
"20160110","0730","1267"
"20160110","0800","1270"
"20160110","0830","1295"
"20160110","0900","1370"
"20160110","0930","1384"
"20160110","1000","1425"
"20160110","1030","1564"
"20160110","1100","1605"
"20160110","1130","1618"
"20160110","1200","1598"
"20160110","1230","1612"
"20160110","1300","1643"
"20160110","1330","1612"
"20160110","1400","1643"
"20160110","1430","1606"
"20160110","1500","1613"
"20160110","1530","1716"
"20160110","1600","1818"
"20160110","1630","1906"
"20160110","1700","1998"
"20160110","1730","2067"
"20160110","1800","2136"
"20160110","1830","2171"
"20160110","1900","2184"
"20160110","1930","2171"
"20160110","2000","2105"
"20160110","2030","2064"
"20160110","2100","2021"
"20160110","2130","1948"
"20160110","2200","1849"
"20160110","2230","1762"
"20160110","2300","1693"
"20160110","2330","1621"
"20160111","0000","1812"
"20160111","0030","1687"
"20160111","0100","1599"
"20160111","0130","1526"
"20160111","0200","1473"
"20160111","0230","1433"
"20160111","0300","1410"
"20160111","0330","1389"
"20160111","0400","1388"
"20160111","0430","1388"
"20160111","0500","1417"
"20160111","0530","1437"
"20160111","0600","1496"
"20160111","0630","1550"
"20160111","0700","1656"
"20160111","0730","1737"
"20160111","0800","1809"
"20160111","0830","1906"
"20160111","0900","2021"
"20160111","0930","2037"
"20160111","1000","2014"
"20160111","1030","1956"
"20160111","1100","1939"
"20160111","1130","1908"
"20160111","1200","1884"
"20160111","1230","1946"
"20160111","1300","2055"
"20160111","1330","2172"
"20160111","1400","2234"
"20160111","1430","2185"
"20160111","1500","2187"
"20160111","1530","2246"
"20160111","1600","2330"
"20160111","1630","2387"
"20160111","1700","2429"
"20160111","1730","2478"
"20160111","1800","2491"
"20160111","1830","2501"
"20160111","1900","2490"
"20160111","1930","2426"
"20160111","2000","2348"
"20160111","2030","2296"
"20160111","2100","2236"
"20160111","2130","2163"
"20160111","2200","2064"
"20160111","2230","1949"
"20160111","2300","1848"
"20160111","2330","1774"
"20160112","0000","1958"
"20160112","0030","1814"
"20160112","0100","1708"
"20160112","0130","1609"
"20160112","0200","1557"
"20160112","0230","1521"
"20160112","0300","1495"
"20160112","0330","1465"
"20160112","0400","1447"
"20160112","0430","1450"
"20160112","0500","1478"
"20160112","0530","1516"
"20160112","0600","1575"
"20160112","0630","1623"
"20160112","0700","1730"
"20160112","0730","1814"
"20160112","0800","1850"
"20160112","0830","1912"
"20160112","0900","1961"
"20160112","0930","1958"
"20160112","1000","1982"
"20160112","1030","2013"
"20160112","1100","2063"
"20160112","1130","2118"
"20160112","1200","2180"
"20160112","1230","2246"
"20160112","1300","2312"
"20160112","1330","2356"
"20160112","1400","2409"
"20160112","1430","2460"
"20160112","1500","2503"
"20160112","1530","2549"
"20160112","1600","2614"
"20160112","1630","2673"
"20160112","1700","2724"
"20160112","1730","2767"
"20160112","1800","2764"
"20160112","1830","2770"
"20160112","1900","2770"
"20160112","1930","2716"
"20160112","2000","2626"
"20160112","2030","2572"
"20160112","2100","2525"
"20160112","2130","2422"
"20160112","2200","2300"
"20160112","2230","2146"
"20160112","2300","2038"
"20160112","2330","1923"
"20160113","0000","2071"
"20160113","0030","1902"
"20160113","0100","1785"
"20160113","0130","1691"
"20160113","0200","1629"
"20160113","0230","1588"
"20160113","0300","1557"
"20160113","0330","1530"
"20160113","0400","1544"
"20160113","0430","1536"
"20160113","0500","1565"
"20160113","0530","1604"
"20160113","0600","1667"
"20160113","0630","1726"
"20160113","0700","1844"
"20160113","0730","1964"
"20160113","0800","2011"
"20160113","0830","2053"
"20160113","0900","2116"
"20160113","0930","2198"
"20160113","1000","2244"
"20160113","1030","2295"
"20160113","1100","2363"
"20160113","1130","2435"
"20160113","1200","2441"
"20160113","1230","2434"
"20160113","1300","2416"
"20160113","1330","2406"
"20160113","1400","2403"
"20160113","1430","2376"
"20160113","1500","2316"
"20160113","1530","2304"
"20160113","1600","2251"
"20160113","1630","2216"
"20160113","1700","2184"
"20160113","1730","2134"
"20160113","1800","2068"
"20160113","1830","1992"
"20160113","1900","1938"
"20160113","1930","1865"
"20160113","2000","1808"
"20160113","2030","1781"
"20160113","2100","1738"
"20160113","2130","1665"
"20160113","2200","1598"
"20160113","2230","1534"
"20160113","2300","1501"
"20160113","2330","1460"
"20160114","0000","1660"
"20160114","0030","1550"
"20160114","0100","1467"
"20160114","0130","1405"
"20160114","0200","1359"
"20160114","0230","1340"
"20160114","0300","1328"
"20160114","0330","1333"
"20160114","0400","1340"
"20160114","0430","1358"
"20160114","0500","1379"
"20160114","0530","1404"
"20160114","0600","1438"
"20160114","0630","1484"
"20160114","0700","1552"
"20160114","0730","1611"
"20160114","0800","1615"
"20160114","0830","1623"
"20160114","0900","1633"
"20160114","0930","1638"
"20160114","1000","1615"
"20160114","1030","1570"
"20160114","1100","1502"
"20160114","1130","1477"
"20160114","1200","1417"
"20160114","1230","1379"
"20160114","1300","1366"
"20160114","1330","1362"
"20160114","1400","1382"
"20160114","1430","1388"
"20160114","1500","1381"
"20160114","1530","1354"
"20160114","1600","1354"
"20160114","1630","1370"
"20160114","1700","1387"
"20160114","1730","1422"
"20160114","1800","1456"
"20160114","1830","1501"
"20160114","1900","1526"
"20160114","1930","1521"
"20160114","2000","1524"
"20160114","2030","1539"
"20160114","2100","1560"
"20160114","2130","1524"
"20160114","2200","1490"
"20160114","2230","1443"
"20160114","2300","1427"
"20160114","2330","1402"
"20160115","0000","1616"
"20160115","0030","1520"
"20160115","0100","1439"
"20160115","0130","1373"
"20160115","0200","1320"
"20160115","0230","1293"
"20160115","0300","1277"
"20160115","0330","1268"
"20160115","0400","1259"
"20160115","0430","1273"
"20160115","0500","1315"
"20160115","0530","1355"
"20160115","0600","1388"
"20160115","0630","1429"
"20160115","0700","1469"
"20160115","0730","1492"
"20160115","0800","1461"
"20160115","0830","1452"
"20160115","0900","1415"
"20160115","0930","1366"
"20160115","1000","1309"
"20160115","1030","1271"
"20160115","1100","1247"
"20160115","1130","1240"
"20160115","1200","1227"
"20160115","1230","1234"
"20160115","1300","1228"
"20160115","1330","1237"
"20160115","1400","1253"
"20160115","1430","1265"
"20160115","1500","1282"
"20160115","1530","1309"
"20160115","1600","1345"
"20160115","1630","1392"
"20160115","1700","1428"
"20160115","1730","1464"
"20160115","1800","1473"
"20160115","1830","1514"
"20160115","1900","1528"
"20160115","1930","1521"
"20160115","2000","1519"
"20160115","2030","1554"
"20160115","2100","1554"
"20160115","2130","1524"
"20160115","2200","1507"
"20160115","2230","1478"
"20160115","2300","1455"
"20160115","2330","1420"
"20160116","0000","1620"
"20160116","0030","1524"
"20160116","0100","1437"
"20160116","0130","1349"
"20160116","0200","1289"
"20160116","0230","1260"
"20160116","0300","1241"
"20160116","0330","1220"
"20160116","0400","1230"
"20160116","0430","1232"
"20160116","0500","1242"
"20160116","0530","1249"
"20160116","0600","1261"
"20160116","0630","1246"
"20160116","0700","1246"
"20160116","0730","1268"
"20160116","0800","1261"
"20160116","0830","1252"
"20160116","0900","1217"
"20160116","0930","1198"
"20160116","1000","1204"
"20160116","1030","1153"
"20160116","1100","1107"
"20160116","1130","1089"
"20160116","1200","1101"
"20160116","1230","1110"
"20160116","1300","1120"
"20160116","1330","1146"
"20160116","1400","1156"
"20160116","1430","1210"
"20160116","1500","1268"
"20160116","1530","1320"
"20160116","1600","1409"
"20160116","1630","1462"
"20160116","1700","1456"
"20160116","1730","1459"
"20160116","1800","1483"
"20160116","1830","1491"
"20160116","1900","1532"
"20160116","1930","1538"
"20160116","2000","1548"
"20160116","2030","1563"
"20160116","2100","1556"
"20160116","2130","1525"
"20160116","2200","1490"
"20160116","2230","1446"
"20160116","2300","1427"
"20160116","2330","1404"
"20160117","0000","1596"
"20160117","0030","1494"
"20160117","0100","1418"
"20160117","0130","1337"
"20160117","0200","1295"
"20160117","0230","1256"
"20160117","0300","1232"
"20160117","0330","1217"
"20160117","0400","1219"
"20160117","0430","1208"
"20160117","0500","1196"
"20160117","0530","1209"
"20160117","0600","1202"
"20160117","0630","1182"
"20160117","0700","1181"
"20160117","0730","1192"
"20160117","0800","1169"
"20160117","0830","1160"
"20160117","0900","1159"
"20160117","0930","1156"
"20160117","1000","1170"
"20160117","1030","1203"
"20160117","1100","1228"
"20160117","1130","1275"
"20160117","1200","1330"
"20160117","1230","1381"
"20160117","1300","1431"
"20160117","1330","1484"
"20160117","1400","1547"
"20160117","1430","1602"
"20160117","1500","1675"
"20160117","1530","1748"
"20160117","1600","1835"
"20160117","1630","1930"
"20160117","1700","1994"
"20160117","1730","2077"
"20160117","1800","2132"
"20160117","1830","2162"
"20160117","1900","2148"
"20160117","1930","2101"
"20160117","2000","2030"
"20160117","2030","1988"
"20160117","2100","1950"
"20160117","2130","1874"
"20160117","2200","1787"
"20160117","2230","1697"
"20160117","2300","1633"
"20160117","2330","1575"
"20160118","0000","1757"
"20160118","0030","1631"
"20160118","0100","1547"
"20160118","0130","1459"
"20160118","0200","1396"
"20160118","0230","1365"
"20160118","0300","1342"
"20160118","0330","1327"
"20160118","0400","1334"
"20160118","0430","1344"
"20160118","0500","1368"
"20160118","0530","1399"
"20160118","0600","1466"
"20160118","0630","1510"
"20160118","0700","1591"
"20160118","0730","1671"
"20160118","0800","1700"
"20160118","0830","1751"
"20160118","0900","1803"
"20160118","0930","1804"
"20160118","1000","1821"
"20160118","1030","1848"
"20160118","1100","1895"
"20160118","1130","1951"
"20160118","1200","2013"
"20160118","1230","2075"
"20160118","1300","2133"
"20160118","1330","2193"
"20160118","1400","2249"
"20160118","1430","2284"
"20160118","1500","2336"
"20160118","1530","2386"
"20160118","1600","2430"
"20160118","1630","2483"
"20160118","1700","2527"
"20160118","1730","2566"
"20160118","1800","2578"
"20160118","1830","2593"
"20160118","1900","2563"
"20160118","1930","2493"
"20160118","2000","2393"
"20160118","2030","2330"
"20160118","2100","2259"
"20160118","2130","2154"
"20160118","2200","2030"
"20160118","2230","1903"
"20160118","2300","1808"
"20160118","2330","1728"
"20160119","0000","1887"
"20160119","0030","1740"
"20160119","0100","1639"
"20160119","0130","1560"
"20160119","0200","1499"
"20160119","0230","1467"
"20160119","0300","1441"
"20160119","0330","1423"
"20160119","0400","1414"
"20160119","0430","1427"
"20160119","0500","1458"
"20160119","0530","1513"
"20160119","0600","1573"
"20160119","0630","1624"
"20160119","0700","1696"
"20160119","0730","1764"
"20160119","0800","1825"
"20160119","0830","1894"
"20160119","0900","1976"
"20160119","0930","2021"
"20160119","1000","2110"
"20160119","1030","2167"
"20160119","1100","2249"
"20160119","1130","2339"
"20160119","1200","2352"
"20160119","1230","2377"
"20160119","1300","2393"
"20160119","1330","2410"
"20160119","1400","2418"
"20160119","1430","2433"
"20160119","1500","2438"
"20160119","1530","2416"
"20160119","1600","2432"
"20160119","1630","2515"
"20160119","1700","2542"
"20160119","1730","2481"
"20160119","1800","2486"
"20160119","1830","2504"
"20160119","1900","2479"
"20160119","1930","2442"
"20160119","2000","2408"
"20160119","2030","2397"
"20160119","2100","2367"
"20160119","2130","2304"
"20160119","2200","2198"
"20160119","2230","2073"
"20160119","2300","1982"
"20160119","2330","1889"
"20160120","0000","2059"
"20160120","0030","1889"
"20160120","0100","1797"
"20160120","0130","1714"
"20160120","0200","1660"
"20160120","0230","1610"
"20160120","0300","1589"
"20160120","0330","1583"
"20160120","0400","1582"
"20160120","0430","1604"
"20160120","0500","1619"
"20160120","0530","1653"
"20160120","0600","1737"
"20160120","0630","1799"
"20160120","0700","1869"
"20160120","0730","1932"
"20160120","0800","1969"
"20160120","0830","2025"
"20160120","0900","2064"
"20160120","0930","2072"
"20160120","1000","2064"
"20160120","1030","2089"
"20160120","1100","2099"
"20160120","1130","2127"
"20160120","1200","2161"
"20160120","1230","2201"
"20160120","1300","2255"
"20160120","1330","2293"
"20160120","1400","2339"
"20160120","1430","2366"
"20160120","1500","2384"
"20160120","1530","2406"
"20160120","1600","2431"
"20160120","1630","2471"
"20160120","1700","2523"
"20160120","1730","2543"
"20160120","1800","2539"
"20160120","1830","2522"
"20160120","1900","2436"
"20160120","1930","2343"
"20160120","2000","2255"
"20160120","2030","2205"
"20160120","2100","2159"
"20160120","2130","2072"
"20160120","2200","1981"
"20160120","2230","1885"
"20160120","2300","1803"
"20160120","2330","1738"
"20160121","0000","1904"
"20160121","0030","1769"
"20160121","0100","1663"
"20160121","0130","1581"
"20160121","0200","1518"
"20160121","0230","1489"
"20160121","0300","1477"
"20160121","0330","1464"
"20160121","0400","1455"
"20160121","0430","1449"
"20160121","0500","1478"
"20160121","0530","1507"
"20160121","0600","1579"
"20160121","0630","1633"
"20160121","0700","1712"
"20160121","0730","1775"
"20160121","0800","1799"
"20160121","0830","1819"
"20160121","0900","1828"
"20160121","0930","1825"
"20160121","1000","1847"
"20160121","1030","1859"
"20160121","1100","1868"
"20160121","1130","1920"
"20160121","1200","1959"
"20160121","1230","2015"
"20160121","1300","2088"
"20160121","1330","2154"
