REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2022/06/01 00:05:00,1743.68,263.10,TRADE
SA1,2022/06/01 00:10:00,1760.28,180.75,TRADE
SA1,2022/06/01 00:15:00,1737.94,131.04,TRADE
SA1,2022/06/01 00:20:00,1746.16,138.97,TRADE
SA1,2022/06/01 00:25:00,1724.16,135.29,TRADE
SA1,2022/06/01 00:30:00,1743.98,136.07,TRADE
SA1,2022/06/01 00:35:00,1723.8,88.50,TRADE
SA1,2022/06/01 00:40:00,1724.87,89.89,TRADE
SA1,2022/06/01 00:45:00,1720.52,262.30,TRADE
SA1,2022/06/01 00:50:00,1711.13,266.65,TRADE
SA1,2022/06/01 00:55:00,1706.67,134.87,TRADE
SA1,2022/06/01 01:00:00,1703.98,86.03,TRADE
SA1,2022/06/01 01:05:00,1682.65,92.98,TRADE
SA1,2022/06/01 01:10:00,1679.07,264.81,TRADE
SA1,2022/06/01 01:15:00,1638.65,271.95,TRADE
SA1,2022/06/01 01:20:00,1653.07,269.21,TRADE
SA1,2022/06/01 01:25:00,1627.31,59.96,TRADE
SA1,2022/06/01 01:30:00,1636.9,99.93,TRADE
SA1,2022/06/01 01:35:00,1628.7,61.22,TRADE
SA1,2022/06/01 01:40:00,1647.61,21.37,TRADE
SA1,2022/06/01 01:45:00,1613.89,21.60,TRADE
SA1,2022/06/01 01:50:00,1612.81,143.47,TRADE
SA1,2022/06/01 01:55:00,1606.46,80.06,TRADE
SA1,2022/06/01 02:00:00,1573.58,27.09,TRADE
SA1,2022/06/01 02:05:00,1577.26,56.74,TRADE
SA1,2022/06/01 02:10:00,1551.58,28.21,TRADE
SA1,2022/06/01 02:15:00,1579.68,89.39,TRADE
SA1,2022/06/01 02:20:00,1542.95,61.57,TRADE
SA1,2022/06/01 02:25:00,1532.48,21.17,TRADE
SA1,2022/06/01 02:30:00,1527.85,61.57,TRADE
SA1,2022/06/01 02:35:00,1527.4,61.90,TRADE
SA1,2022/06/01 02:40:00,1519.83,140.61,TRADE
SA1,2022/06/01 02:45:00,1500.01,56.75,TRADE
SA1,2022/06/01 02:50:00,1523.62,61.89,TRADE
SA1,2022/06/01 02:55:00,1482.67,60.96,TRADE
SA1,2022/06/01 03:00:00,1506.91,16.33,TRADE
SA1,2022/06/01 03:05:00,1471.67,21.28,TRADE
SA1,2022/06/01 03:10:00,1479.63,62.54,TRADE
SA1,2022/06/01 03:15:00,1455.94,61.91,TRADE
SA1,2022/06/01 03:20:00,1465.71,56.74,TRADE
SA1,2022/06/01 03:25:00,1441.42,22.99,TRADE
SA1,2022/06/01 03:30:00,1440.14,21.83,TRADE
SA1,2022/06/01 03:35:00,1439.89,-0.83,TRADE
SA1,2022/06/01 03:40:00,1463.35,56.74,TRADE
SA1,2022/06/01 03:45:00,1439.51,22.07,TRADE
SA1,2022/06/01 03:50:00,1412.49,62.88,TRADE
SA1,2022/06/01 03:55:00,1433.78,23.11,TRADE
SA1,2022/06/01 04:00:00,1440.2,63.21,TRADE
SA1,2022/06/01 04:05:00,1431.68,29.68,TRADE
SA1,2022/06/01 04:10:00,1409.19,56.74,TRADE
SA1,2022/06/01 04:15:00,1406.12,62.56,TRADE
SA1,2022/06/01 04:20:00,1418.91,64.86,TRADE
SA1,2022/06/01 04:25:00,1426.92,139.28,TRADE
SA1,2022/06/01 04:30:00,1401.1,139.28,TRADE
SA1,2022/06/01 04:35:00,1403.59,61.61,TRADE
SA1,2022/06/01 04:40:00,1417.14,139.28,TRADE
SA1,2022/06/01 04:45:00,1385.21,29.22,TRADE
SA1,2022/06/01 04:50:00,1397.6,29.42,TRADE
SA1,2022/06/01 04:55:00,1437.88,20.55,TRADE
SA1,2022/06/01 05:00:00,1436.38,22.09,TRADE
SA1,2022/06/01 05:05:00,1446.02,63.85,TRADE
SA1,2022/06/01 05:10:00,1431.49,148.71,TRADE
SA1,2022/06/01 05:15:00,1440.46,61.29,TRADE
SA1,2022/06/01 05:20:00,1447.94,30.25,TRADE
SA1,2022/06/01 05:25:00,1452.37,37.82,TRADE
SA1,2022/06/01 05:30:00,1466.89,34.18,TRADE
SA1,2022/06/01 05:35:00,1479.45,21.17,TRADE
SA1,2022/06/01 05:40:00,1485.44,72.25,TRADE
SA1,2022/06/01 05:45:00,1478.33,99.28,TRADE
SA1,2022/06/01 05:50:00,1488.86,232.13,TRADE
SA1,2022/06/01 05:55:00,1501.54,286.84,TRADE
