"net_load","tempc","Time","DST","year","WtdTemp"
1492,15.3,0,0.0416666666666667,0,18.6247918198174
1483,15.35,0.0208333333333333,0.0625,5.70776255707763e-05,18.7600102375312
1437,15.4,0.0416666666666667,0.0833333333333333,0.000114155251141553,18.8779036790187
1353,15.4,0.0625,0.104166666666667,0.000171232876712329,18.9637140324888
1314,15.4,0.0833333333333333,0.125,0.000228310502283105,19.0274768774328
1289,15.2,0.104166666666667,0.145833333333333,0.000285388127853881,19.0261654018903
1281,15,0.125,0.166666666666667,0.000342465753424658,19
1262,14.3,0.145833333333333,0.1875,0.000399543378995434,18.7902555357206
1250,13.6,0.166666666666667,0.208333333333333,0.00045662100456621,18.4144271909999
1243,13.5,0.1875,0.229166666666667,0.000513698630136986,18.0301510349753
1254,13.4,0.208333333333333,0.25,0.000570776255707763,17.5398780407187
1275,14.4,0.229166666666667,0.270833333333333,0.000627853881278539,17.48
1354,15.4,0.25,0.291666666666667,0.000684931506849315,17.5746304564688
1408,17.05,0.270833333333333,0.3125,0.000742009132420091,18.2390083764343
1470,18.7,0.291666666666667,0.333333333333333,0.000799086757990868,19.1520694768281
1441,19.2,0.3125,0.354166666666667,0.000856164383561644,19.449788696741
1335,19.7,0.333333333333333,0.375,0.00091324200913242,19.79
1224,19.85,0.354166666666667,0.395833333333333,0.000970319634703196,19.8971966991411
1111,20,0.375,0.416666666666667,0.00102739726027397,20
988,20.45,0.395833333333333,0.4375,0.00108447488584475,20.2765900974233
895,20.9,0.416666666666667,0.458333333333333,0.00114155251141553,20.54
818,21.3,0.4375,0.479166666666667,0.0011986301369863,20.78
752,21.7,0.458333333333333,0.5,0.00125570776255708,21.02
719,21.8,0.479166666666667,0.520833333333333,0.00131278538812785,21.08
696,21.9,0.5,0.541666666666667,0.00136986301369863,21.14
664,22.75,0.520833333333333,0.5625,0.00142694063926941,21.65
666,23.6,0.541666666666667,0.583333333333333,0.00148401826484018,22.16
674,23.95,0.5625,0.604166666666667,0.00154109589041096,22.37
687,24.3,0.583333333333333,0.625,0.00159817351598174,22.58
709,23.65,0.604166666666667,0.645833333333333,0.00165525114155251,22.19
755,23,0.625,0.666666666666667,0.00171232876712329,21.8
842,23.4,0.645833333333333,0.6875,0.00176940639269406,22.04
