"date","time","tempc","cloud8","windk","wdir","humid","rainmm","radkjm2"
"20160101","0000","19.3","6","5","50","67","0","-99"
"20160101","0100","17.4","6","6","70","76","0","-99"
"20160101","0200","18.4","5","2","200","72","0","-99"
"20160101","0300","18.2","7","0","0","78","0","-99"
"20160101","0400","17","6","5","200","77","0","-99"
"20160101","0500","15.5","1","5","120","80","0","-99"
"20160101","0600","17.8","3","5","140","73","0","-99"
"20160101","0700","20.5","6","4","170","58","0","-99"
"20160101","0800","23.2","7","5","240","46","0","-99"
"20160101","0900","25.5","7","5","280","37","0","-99"
"20160101","1000","28","6","5","210","29","0","-99"
"20160101","1100","30","5","5","280","21","0","-99"
"20160101","1200","33.4","5","8","120","15","0","-99"
"20160101","1300","34.3","6","12","110","14","0","-99"
"20160101","1400","34","5","9","80","11","0","-99"
"20160101","1500","33.3","6","13","150","12","0","-99"
"20160101","1600","32","7","15","180","15","0","-99"
"20160101","1700","30.1","8","16","180","23","0","-99"
"20160101","1800","29.5","6","7","140","23","0","-99"
"20160101","1900","26.9","6","9","80","36","0","-99"
"20160101","2000","25.1","8","7","110","42","0","-99"
"20160101","2100","23.6","6","8","100","45","0.05","-99"
"20160101","2200","22","5","5","90","50","0","-99"
"20160101","2300","22","8","3","50","33","0","-99"
"20160102","0000","20.5","8","6","90","47","0","-99"
"20160102","0100","19.7","6","5","70","57","0","-99"
"20160102","0200","17.8","8","5","80","62","0","-99"
"20160102","0300","17.3","8","2","20","60","0","-99"
"20160102","0400","18","6","5","10","64","0","-99"
"20160102","0500","16.5","8","4","130","71","0","-99"
"20160102","0600","18.4","7","4","120","59","0","-99"
"20160102","0700","18.9","7","5","0","63","0","-99"
"20160102","0800","21.2","7","1","140","52","0","-99"
"20160102","0900","23.9","8","5","150","43","0.01","-99"
"20160102","1000","25","6","11","160","39","0","-99"
"20160102","1100","26.4","8","9","180","37","0","-99"
"20160102","1200","27.8","7","11","90","32","0","-99"
"20160102","1300","26.9","6","14","90","34","0","-99"
"20160102","1400","25.2","8","15","190","39","0","-99"
"20160102","1500","20","7","14","170","64","0","-99"
"20160102","1600","19","7","10","150","73","0","-99"
"20160102","1700","20.7","8","11","160","61","0","-99"
"20160102","1800","20.7","8","7","150","63","0.1","-99"
"20160102","1900","20.2","7","10","130","64","0.14","-99"
"20160102","2000","19.4","8","5","110","68","0","-99"
"20160102","2100","19.3","8","6","120","67","0.23","-99"
"20160102","2200","19","6","8","120","68","0","-99"
"20160102","2300","18.6","8","9","120","70","0","-99"
"20160103","0000","17.9","4","6","140","72","0.03","-99"
"20160103","0100","17.2","5","5","140","75","0","-99"
"20160103","0200","16.3","8","4","120","78","0","-99"
"20160103","0300","16","8","5","140","81","0.07","-99"
"20160103","0400","16","8","4","140","77","0","-99"
"20160103","0500","15.3","7","5","60","82","0","-99"
"20160103","0600","16.9","6","4","130","80","0","-99"
"20160103","0700","19.2","5","5","110","70","0","-99"
"20160103","0800","19.3","6","12","120","63","0","-99"
"20160103","0900","21.1","6","16","110","55","0.01","-99"
"20160103","1000","20.9","7","14","120","48","0","-99"
"20160103","1100","20.8","8","13","130","53","0","-99"
"20160103","1200","22.5","7","12","150","45","0","-99"
"20160103","1300","23.7","7","16","130","41","0","-99"
"20160103","1400","23.6","4","12","140","42","0","-99"
"20160103","1500","23.2","7","10","120","40","0","-99"
"20160103","1600","22","7","14","90","47","0","-99"
"20160103","1700","20.9","8","16","90","48","0","-99"
"20160103","1800","19.7","8","10","100","56","0.2","-99"
"20160103","1900","18.6","8","11","100","60","0","-99"
"20160103","2000","17.7","7","7","120","63","0.23","-99"
"20160103","2100","17.4","8","5","130","68","0.1","-99"
"20160103","2200","16","8","6","70","82","0","-99"
"20160103","2300","14.9","8","5","140","84","0.77","-99"
"20160104","0000","15","8","4","160","90","1.71","-99"
"20160104","0100","15.4","8","5","150","85","1.64","-99"
"20160104","0200","15","8","5","120","89","1.47","-99"
"20160104","0300","14.8","8","5","140","89","1.43","-99"
"20160104","0400","15","7","6","170","88","0.03","-99"
"20160104","0500","14.5","8","2","140","91","1.43","-99"
"20160104","0600","14.2","7","4","150","93","2.98","-99"
"20160104","0700","14.7","8","11","190","96","3.01","-99"
"20160104","0800","15.8","8","6","160","85","2.98","-99"
"20160104","0900","16.7","6","7","160","80","2.98","-99"
"20160104","1000","17","6","7","140","77","0","-99"
"20160104","1100","19.2","8","9","160","65","0","-99"
