"date","time","load_act"
"20180306","0930","417.157"
"20180306","1000","451.586"
"20180306","1030","460.385"
"20180306","1100","477.387"
"20180306","1130","485.9"
"20180306","1200","480.363"
"20180306","1230","485.729"
"20180306","1300","497.106"
"20180306","1330","502.035"
"20180306","1400","473.921"
"20180306","1430","436.437"
"20180306","1500","378.134"
"20180306","1530","319.258"
"20180306","1600","280.817"
"20180306","1630","225.406"
"20180306","1700","165.835"
"20180306","1730","108.07"
"20180306","1800","52.332"
"20180306","1830","12.249"
"20180306","1900","0.076"
"20180306","1930","0"
"20180306","2000","0"
"20180306","2030","0"
"20180306","2100","0"
"20180306","2130","0"
"20180306","2200","0"
"20180306","2230","0"
"20180306","2300","0"
"20180306","2330","0"
"20180307","0000","0"
"20180307","0030","0"
"20180307","0100","0"
"20180307","0130","0"
"20180307","0200","0"
"20180307","0230","0"
"20180307","0300","0"
"20180307","0330","0"
"20180307","0400","0"
"20180307","0430","0"
"20180307","0500","0"
"20180307","0530","0"
"20180307","0600","7.404"
"20180307","0630","48.352"
"20180307","0700","120.969"
"20180307","0730","205.862"
"20180307","0800","297.252"
"20180307","0830","389.756"
"20180307","0900","478.122"
"20180307","0930","549.213"
"20180307","1000","612.402"
"20180307","1030","646.735"
"20180307","1100","698.428"
"20180307","1130","731.442"
"20180307","1200","746.172"
"20180307","1230","745.443"
"20180307","1300","732.436"
"20180307","1330","711.535"
"20180307","1400","675.808"
"20180307","1430","625.185"
"20180307","1500","563.248"
"20180307","1530","484.236"
"20180307","1600","411.054"
"20180307","1630","323.308"
"20180307","1700","229.396"
"20180307","1730","139.272"
"20180307","1800","61.665"
"20180307","1830","10.944"
"20180307","1900","0.026"
"20180307","1930","0"
"20180307","2000","0"
"20180307","2030","0"
"20180307","2100","0"
"20180307","2130","0"
"20180307","2200","0"
"20180307","2230","0"
"20180307","2300","0"
"20180307","2330","0"
"20180308","0000","0"
"20180308","0030","0"
"20180308","0100","0"
"20180308","0130","0"
"20180308","0200","0"
"20180308","0230","0"
"20180308","0300","0"
"20180308","0330","0"
"20180308","0400","0"
"20180308","0430","0"
"20180308","0500","0"
"20180308","0530","0"
"20180308","0600","6.321"
"20180308","0630","48.268"
"20180308","0700","122.402"
"20180308","0730","209.476"
"20180308","0800","304.502"
"20180308","0830","396.114"
"20180308","0900","475.052"
"20180308","0930","535.157"
"20180308","1000","585.139"
"20180308","1030","599.786"
"20180308","1100","643.01"
"20180308","1130","674.714"
"20180308","1200","691.982"
"20180308","1230","-99"
"20180308","1300","-99"
"20180308","1330","-99"
"20180308","1400","-99"
"20180308","1430","633.339"
"20180308","1500","566.374"
"20180308","1530","491.535"
"20180308","1600","418.884"
"20180308","1630","330.281"
"20180308","1700","233.339"
"20180308","1730","140.651"
"20180308","1800","60.467"
"20180308","1830","10.017"
"20180308","1900","0"
"20180308","1930","0"
"20180308","2000","0"
"20180308","2030","0"
"20180308","2100","0"
"20180308","2130","0"
"20180308","2200","0"
"20180308","2230","0"
"20180308","2300","0"
"20180308","2330","0"
"20180309","0000","0"
"20180309","0030","0"
"20180309","0100","0"
"20180309","0130","0"
"20180309","0200","0"
"20180309","0230","0"
"20180309","0300","0"
"20180309","0330","0"
"20180309","0400","0"
"20180309","0430","0"
"20180309","0500","0"
"20180309","0530","0"
"20180309","0600","7.395"
"20180309","0630","47.997"
"20180309","0700","116.275"
"20180309","0730","204.399"
"20180309","0800","302.846"
"20180309","0830","393.89"
"20180309","0900","466.458"
"20180309","0930","521.208"
"20180309","1000","566.737"
"20180309","1030","575.57"
"20180309","1100","626.704"
"20180309","1130","672.504"
"20180309","1200","705.143"
"20180309","1230","714.487"
"20180309","1300","704.983"
"20180309","1330","683.337"
"20180309","1400","651.132"
"20180309","1430","604.667"
"20180309","1500","549.999"
"20180309","1530","477.559"
"20180309","1600","416.417"
"20180309","1630","332.187"
"20180309","1700","234.961"
"20180309","1730","139.988"
"20180309","1800","57.999"
"20180309","1830","8.941"
"20180309","1900","0"
"20180309","1930","0"
"20180309","2000","0"
"20180309","2030","0"
"20180309","2100","0"
"20180309","2130","0"
"20180309","2200","0"
"20180309","2230","0"
"20180309","2300","0"
"20180309","2330","0"
"20180310","0000","0"
"20180310","0030","0"
"20180310","0100","0"
"20180310","0130","0"
"20180310","0200","0"
"20180310","0230","0"
"20180310","0300","0"
"20180310","0330","0"
"20180310","0400","0"
"20180310","0430","0"
"20180310","0500","0"
"20180310","0530","0"
"20180310","0600","6.014"
"20180310","0630","47.653"
"20180310","0700","114.664"
"20180310","0730","199.371"
"20180310","0800","291.191"
"20180310","0830","380.864"
"20180310","0900","464.869"
"20180310","0930","533.029"
"20180310","1000","585.342"
"20180310","1030","613.705"
"20180310","1100","677.086"
"20180310","1130","724.471"
"20180310","1200","750.866"
"20180310","1230","767.525"
"20180310","1300","768.533"
"20180310","1330","764.254"
"20180310","1400","733.741"
"20180310","1430","687.023"
"20180310","1500","624.479"
"20180310","1530","546.721"
"20180310","1600","461.198"
"20180310","1630","361.832"
"20180310","1700","253.719"
"20180310","1730","147.564"
"20180310","1800","58.627"
"20180310","1830","8.388"
"20180310","1900","0"
"20180310","1930","0"
"20180310","2000","0"
"20180310","2030","0"
"20180310","2100","0"
"20180310","2130","0"
"20180310","2200","0"
"20180310","2230","0"
"20180310","2300","0"
"20180310","2330","0"
"20180311","0000","0"
"20180311","0030","0"
"20180311","0100","0"
"20180311","0130","0"
"20180311","0200","0"
"20180311","0230","0"
"20180311","0300","0"
"20180311","0330","0"
"20180311","0400","0"
"20180311","0430","0"
"20180311","0500","0"
"20180311","0530","0"
"20180311","0600","7.215"
"20180311","0630","53.289"
"20180311","0700","140.957"
"20180311","0730","244.109"
"20180311","0800","352.122"
"20180311","0830","458.688"
"20180311","0900","559.079"
"20180311","0930","644.822"
"20180311","1000","721.646"
"20180311","1030","773.062"
"20180311","1100","825.518"
"20180311","1130","862.314"
"20180311","1200","879.627"
"20180311","1230","882.023"
"20180311","1300","868.335"
"20180311","1330","840.234"
"20180311","1400","798.106"
"20180311","1430","739.978"
"20180311","1500","666.008"
"20180311","1530","574.552"
"20180311","1600","475.367"
"20180311","1630","368.011"
"20180311","1700","256.879"
"20180311","1730","147.459"
"20180311","1800","56.458"
"20180311","1830","7.495"
"20180311","1900","0"
"20180311","1930","0"
"20180311","2000","0"
"20180311","2030","0"
"20180311","2100","0"
"20180311","2130","0"
"20180311","2200","0"
"20180311","2230","0"
"20180311","2300","0"
"20180311","2330","0"
"20180312","0000","0"
"20180312","0030","0"
"20180312","0100","0"
"20180312","0130","0"
"20180312","0200","0"
"20180312","0230","0"
"20180312","0300","0"
"20180312","0330","0"
"20180312","0400","0"
"20180312","0430","0"
"20180312","0500","0"
"20180312","0530","0"
"20180312","0600","6.287"
"20180312","0630","47.805"
"20180312","0700","130.716"
"20180312","0730","226.183"
"20180312","0800","325.211"
"20180312","0830","425.177"
"20180312","0900","518.252"
"20180312","0930","599.837"
"20180312","1000","673.454"
"20180312","1030","738.037"
"20180312","1100","787.891"
"20180312","1130","820.91"
"20180312","1200","850.416"
"20180312","1230","863.861"
"20180312","1300","849.939"
"20180312","1330","816.784"
"20180312","1400","764.714"
"20180312","1430","694.026"
"20180312","1500","608.572"
"20180312","1530","513.948"
"20180312","1600","417.755"
"20180312","1630","315.153"
"20180312","1700","213.958"
"20180312","1730","121.209"
"20180312","1800","45.389"
"20180312","1830","4.736"
"20180312","1900","0"
"20180312","1930","0"
"20180312","2000","0"
"20180312","2030","0"
"20180312","2100","0"
"20180312","2130","0"
"20180312","2200","0"
"20180312","2230","0"
"20180312","2300","0"
"20180312","2330","0"
"20180313","0000","0"
"20180313","0030","0"
"20180313","0100","0"
"20180313","0130","0"
"20180313","0200","0"
"20180313","0230","0"
"20180313","0300","0"
"20180313","0330","0"
"20180313","0400","0"
"20180313","0430","0"
"20180313","0500","0"
"20180313","0530","0"
"20180313","0600","4.483"
"20180313","0630","44.658"
"20180313","0700","95.008"
