REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/06/01 00:05:00,7953.04,90.20,TRADE
NSW1,2023/06/01 00:10:00,7967.67,90.20,TRADE
NSW1,2023/06/01 00:15:00,7923.89,90.20,TRADE
NSW1,2023/06/01 00:20:00,7907.81,90.20,TRADE
NSW1,2023/06/01 00:25:00,7855.31,90.20,TRADE
NSW1,2023/06/01 00:30:00,7880.03,90.20,TRADE
NSW1,2023/06/01 00:35:00,7817.32,90.20,TRADE
NSW1,2023/06/01 00:40:00,7781.64,90.51,TRADE
NSW1,2023/06/01 00:45:00,7716.52,89,TRADE
NSW1,2023/06/01 00:50:00,7701.81,90.20,TRADE
NSW1,2023/06/01 00:55:00,7679.66,90.51,TRADE
NSW1,2023/06/01 01:00:00,7597.57,89,TRADE
NSW1,2023/06/01 01:05:00,7600.1,90.20,TRADE
NSW1,2023/06/01 01:10:00,7544.77,90.20,TRADE
NSW1,2023/06/01 01:15:00,7457.21,89,TRADE
NSW1,2023/06/01 01:20:00,7436,89.45,TRADE
NSW1,2023/06/01 01:25:00,7392.82,89.71,TRADE
NSW1,2023/06/01 01:30:00,7404.48,90.20,TRADE
NSW1,2023/06/01 01:35:00,7299.18,89.73,TRADE
NSW1,2023/06/01 01:40:00,7343.86,90.20,TRADE
NSW1,2023/06/01 01:45:00,7306.41,90.20,TRADE
NSW1,2023/06/01 01:50:00,7213.29,89.45,TRADE
NSW1,2023/06/01 01:55:00,7129.96,88.88,TRADE
NSW1,2023/06/01 02:00:00,7180.86,89,TRADE
NSW1,2023/06/01 02:05:00,7004.9,88.88,TRADE
NSW1,2023/06/01 02:10:00,6973.55,90.20,TRADE
NSW1,2023/06/01 02:15:00,6896.11,70.08,TRADE
NSW1,2023/06/01 02:20:00,6859.42,70.08,TRADE
NSW1,2023/06/01 02:25:00,6868.02,88.88,TRADE
NSW1,2023/06/01 02:30:00,6862.17,88.88,TRADE
NSW1,2023/06/01 02:35:00,6819.93,88.88,TRADE
NSW1,2023/06/01 02:40:00,6841.2,88.88,TRADE
NSW1,2023/06/01 02:45:00,6756.64,71.05,TRADE
NSW1,2023/06/01 02:50:00,6701.25,71.05,TRADE
NSW1,2023/06/01 02:55:00,6689.16,71.05,TRADE
NSW1,2023/06/01 03:00:00,6693.76,88.88,TRADE
