"date","time","tempc","cloud8","windk","wdir","humid","rainmm","radkjm2"
"20160101","0000","21.2","1","7.019441","30","68","0","-99"
"20160101","0100","20.7","1","5.0216","40","70","0","-99"
"20160101","0200","20.5","1","3.995682","30","71","0","-99"
"20160101","0300","20","5","5.0216","50","73","0","-99"
"20160101","0400","19.6","3","3.995682","330","77","0","-99"
"20160101","0500","19","1","5.0216","290","80","0","-99"
"20160101","0600","18.7","1","5.0216","280","82","0","-99"
"20160101","0700","19.9","1","3.995682","260","77","0","-99"
"20160101","0800","21.6","1","3.995682","260","68","0","-99"
"20160101","0900","22.3","5","5.0216","280","61","0","-99"
"20160101","1000","23.8","5","3.023759","40","54","0","-99"
"20160101","1100","24","6","9.989204","160","58","0","-99"
"20160101","1200","25.1","4","11.987045","90","51","0","-99"
"20160101","1300","25.3","1","13.984886","80","51","0","-99"
"20160101","1400","25","-99","15.010805","70","50","0","-99"
"20160101","1500","25.4","-99","15.010805","60","48","0","-99"
"20160101","1600","24.3","-99","15.982727","70","52","0","-99"
"20160101","1700","24.7","-99","17.008646","60","51","0","-99"
"20160101","1800","25","-99","15.982727","60","51","0","-99"
"20160101","1900","23","-99","15.010805","70","60","0","-99"
"20160101","2000","22.4","-99","13.012964","60","62","0","-99"
"20160101","2100","21.3","-99","9.017282","60","66","0","-99"
"20160101","2200","20.9","-99","9.017282","60","69","0","-99"
"20160101","2300","20.6","1","7.019441","50","71","0","-99"
"20160102","0000","20.4","3","5.993523","50","73","0","-99"
"20160102","0100","20.5","6","5.0216","50","73","0","-99"
"20160102","0200","20.7","7","3.995682","60","71","0","-99"
"20160102","0300","20.1","6","5.0216","330","74","0","-99"
"20160102","0400","19.4","5","5.993523","290","78","0","-99"
"20160102","0500","18.5","7","5.993523","230","83","0","-99"
"20160102","0600","18.2","6","7.019441","250","84","0","-99"
"20160102","0700","19.3","6","5.0216","240","78","0","-99"
"20160102","0800","20.5","5","5.0216","230","73","0","-99"
"20160102","0900","21.1","6","3.023759","170","68","0","-99"
"20160102","1000","21.8","6","5.993523","150","64","0","-99"
"20160102","1100","24","5","9.017282","150","55","0","-99"
"20160102","1200","23.2","7","9.989204","120","56","0","-99"
"20160102","1300","24.2","7","9.989204","130","56","0","-99"
"20160102","1400","23.4","7","11.015123","140","60","0","-99"
"20160102","1500","23.8","7","9.989204","130","57","0","-99"
"20160102","1600","23","7","9.989204","130","58","0","-99"
"20160102","1700","22.7","7","9.017282","140","59","0","-99"
"20160102","1800","22","5","9.989204","160","66","0","-99"
"20160102","1900","21.8","6","11.987045","170","65","0","-99"
"20160102","2000","21.8","6","11.015123","170","68","0","-99"
"20160102","2100","21.6","6","11.015123","170","70","0","-99"
"20160102","2200","21.4","7","11.015123","150","65","0","-99"
"20160102","2300","21.2","6","9.989204","150","67","0","-99"
"20160103","0000","21.2","6","9.017282","160","66","0","-99"
"20160103","0100","21","6","9.017282","160","67","0","-99"
"20160103","0200","21","7","7.019441","170","69","0","-99"
"20160103","0300","20.8","7","7.991364","200","74","0","-99"
"20160103","0400","20.8","7","7.991364","200","75","0","-99"
"20160103","0500","20.3","5","9.017282","210","81","0","-99"
"20160103","0600","20.8","6","9.989204","160","67","0","-99"
"20160103","0700","21.5","6","11.015123","160","65","0","-99"
"20160103","0800","21.8","6","11.015123","160","64","0","-99"
"20160103","0900","22.2","7","13.984886","160","65","0","-99"
"20160103","1000","22.6","7","13.984886","150","63","0","-99"
"20160103","1100","22.9","7","15.010805","150","63","0","-99"
"20160103","1200","23.5","8","15.982727","160","60","0","-99"
"20160103","1300","22.6","8","17.008646","160","71","0","-99"
"20160103","1400","22.9","8","17.008646","160","71","0","-99"
"20160103","1500","22.5","7","15.982727","150","75","0","-99"
"20160103","1600","22.3","7","17.008646","100","77","0","-99"
"20160103","1700","23.2","7","15.982727","110","61","0","-99"
"20160103","1800","22.7","6","13.984886","100","61","0","-99"
"20160103","1900","22.4","8","11.987045","120","62","0","-99"
"20160103","2000","22","7","11.987045","120","67","0","-99"
"20160103","2100","21.7","7","11.987045","110","65","0","-99"
"20160103","2200","21.6","7","11.987045","110","63","0","-99"
"20160103","2300","21.2","7","11.015123","110","65","0","-99"
"20160104","0000","21.2","8","9.017282","110","65","0","-99"
"20160104","0100","21.1","8","7.991364","110","66","0","-99"
"20160104","0200","21","8","7.991364","110","68","0","-99"
"20160104","0300","20.9","8","9.017282","100","69","0","-99"
"20160104","0400","21","8","9.017282","100","66","0","-99"
"20160104","0500","21","7","9.017282","110","67","0","-99"
"20160104","0600","21","7","7.991364","120","71","0","-99"
"20160104","0700","21.5","7","7.991364","120","72","0","-99"
"20160104","0800","20.7","7","11.987045","70","80","0","-99"
"20160104","0900","20.7","7","7.019441","90","85","3.6","-99"
"20160104","1000","23","7","13.984886","100","70","1.4","-99"
"20160104","1100","22.3","7","15.010805","120","75","1.4","-99"
"20160104","1200","24.2","7","13.984886","110","59","1.4","-99"
"20160104","1300","23.4","7","11.987045","110","64","1.4","-99"
"20160104","1400","21.2","7","15.010805","90","68","1.4","-99"
"20160104","1500","18.7","7","11.015123","50","94","7.8","-99"
"20160104","1600","19.3","7","13.012964","100","95","15.6","-99"
"20160104","1700","19","7","5.0216","90","95","29.8","-99"
"20160104","1800","19.9","7","17.980568","90","89","40.8","-99"
"20160104","1900","19.8","7","15.010805","90","89","43","-99"
"20160104","2000","20.6","5","17.980568","100","82","43.2","-99"
"20160104","2100","20.6","7","17.980568","110","81","43.6","-99"
"20160104","2200","20.2","7","17.008646","110","82","43.8","-99"
"20160104","2300","20.5","7","15.982727","110","77","43.8","-99"
"20160105","0000","20.7","7","17.008646","100","75","43.8","-99"
"20160105","0100","20.6","6","15.010805","100","73","43.8","-99"
"20160105","0200","20.6","6","15.010805","110","72","43.8","-99"
"20160105","0300","19.1","7","17.008646","110","85","44.8","-99"
"20160105","0400","19.1","7","17.008646","120","82","45","-99"
"20160105","0500","18.3","6","15.982727","130","86","45.6","-99"
"20160105","0600","17.7","7","15.010805","110","88","46.6","-99"
"20160105","0700","18.5","7","15.010805","120","82","47.6","-99"
"20160105","0800","19.6","8","15.010805","130","79","48.2","-99"
"20160105","0900","19.4","7","13.012964","120","83","49.2","-99"
"20160105","1000","19.8","8","17.980568","120","82","0.6","-99"
"20160105","1100","19.8","7","17.008646","110","86","0.6","-99"
"20160105","1200","19.3","7","19.006486","120","92","2","-99"
"20160105","1300","19.2","7","17.980568","120","89","2.6","-99"
"20160105","1400","20.2","7","19.978409","130","89","4","-99"
"20160105","1500","19.9","8","17.008646","140","91","4.8","-99"
"20160105","1600","19.9","8","17.008646","140","86","5.8","-99"
"20160105","1700","19.9","7","17.980568","130","89","6.2","-99"
"20160105","1800","19.9","5","19.006486","140","85","6.6","-99"
"20160105","1900","20","7","17.008646","150","83","7","-99"
"20160105","2000","19.9","7","17.008646","140","82","7","-99"
"20160105","2100","20.2","7","17.008646","140","80","7","-99"
"20160105","2200","20","7","19.006486","130","79","7","-99"
"20160105","2300","19.9","7","17.980568","120","78","7","-99"
"20160106","0000","19.1","7","15.982727","120","81","7","-99"
"20160106","0100","18.1","7","13.984886","120","87","7.6","-99"
"20160106","0200","18","7","15.010805","130","89","9.4","-99"
"20160106","0300","17.3","7","13.012964","150","89","12.6","-99"
"20160106","0400","17.9","7","13.012964","170","91","14.4","-99"
"20160106","0500","18.3","6","13.984886","160","96","18.4","-99"
"20160106","0600","18.6","7","15.982727","170","93","21.6","-99"
"20160106","0700","18.7","7","17.980568","150","92","24.4","-99"
"20160106","0800","18.6","7","15.982727","150","93","30.2","-99"
"20160106","0900","18.5","8","15.010805","160","94","34","-99"
"20160106","1000","17.8","8","17.008646","150","85","2.4","-99"
"20160106","1100","18.3","8","17.008646","180","92","6","-99"
"20160106","1200","18.5","8","17.980568","160","91","7.6","-99"
"20160106","1300","18.6","8","17.980568","160","91","9.6","-99"
"20160106","1400","18.3","8","17.008646","150","91","11.4","-99"
"20160106","1500","18.1","7","17.008646","170","93","14.2","-99"
"20160106","1600","18.3","7","17.980568","160","93","16.2","-99"
"20160106","1700","18","7","21.004327","160","86","19.8","-99"
"20160106","1800","18.3","7","19.006486","170","89","21.4","-99"
"20160106","1900","18.3","7","19.006486","180","94","25.6","-99"
"20160106","2000","18.1","6","19.978409","190","96","26.2","-99"
"20160106","2100","18.3","7","19.006486","200","91","26.2","-99"
"20160106","2200","17.3","7","19.978409","200","95","28.2","-99"
"20160106","2300","18.3","7","21.004327","200","87","28.4","-99"
"20160107","0000","18.6","7","17.008646","190","83","28.6","-99"
