"date","time","load_act"
"20180306","0930","318.991"
"20180306","1000","375.231"
"20180306","1030","430.909"
"20180306","1100","485.129"
"20180306","1130","523.989"
"20180306","1200","550.6"
"20180306","1230","564.99"
"20180306","1300","569.298"
"20180306","1330","568.175"
"20180306","1400","556.26"
"20180306","1430","533.815"
"20180306","1500","499.839"
"20180306","1530","456.327"
"20180306","1600","404.351"
"20180306","1630","345.273"
"20180306","1700","279.686"
"20180306","1730","210.864"
"20180306","1800","141.6"
"20180306","1830","76.419"
"20180306","1900","26.108"
"20180306","1930","2.082"
"20180306","2000","0"
"20180306","2030","0"
"20180306","2100","0"
"20180306","2130","0"
"20180306","2200","0"
"20180306","2230","0"
"20180306","2300","0"
"20180306","2330","0"
"20180307","0000","0"
"20180307","0030","0"
"20180307","0100","0"
"20180307","0130","0"
"20180307","0200","0"
"20180307","0230","0"
"20180307","0300","0"
"20180307","0330","0"
"20180307","0400","0"
"20180307","0430","0"
"20180307","0500","0"
"20180307","0530","0"
"20180307","0600","0"
"20180307","0630","0.08"
"20180307","0700","14.696"
"20180307","0730","60.882"
"20180307","0800","123.455"
"20180307","0830","192.202"
"20180307","0900","261.253"
"20180307","0930","327.273"
"20180307","1000","388.689"
"20180307","1030","443.287"
"20180307","1100","488.766"
"20180307","1130","524.643"
"20180307","1200","550.551"
"20180307","1230","545.498"
"20180307","1300","525.425"
"20180307","1330","489.511"
"20180307","1400","471.552"
"20180307","1430","472.711"
"20180307","1500","451.456"
"20180307","1530","417.754"
"20180307","1600","371.921"
"20180307","1630","311.034"
"20180307","1700","246.855"
"20180307","1730","187.831"
"20180307","1800","128.147"
"20180307","1830","69.288"
"20180307","1900","22.842"
"20180307","1930","1.601"
"20180307","2000","0"
"20180307","2030","0"
"20180307","2100","0"
"20180307","2130","0"
"20180307","2200","0"
"20180307","2230","0"
"20180307","2300","0"
"20180307","2330","0"
"20180308","0000","0"
"20180308","0030","0"
"20180308","0100","0"
"20180308","0130","0"
"20180308","0200","0"
"20180308","0230","0"
"20180308","0300","0"
"20180308","0330","0"
"20180308","0400","0"
"20180308","0430","0"
"20180308","0500","0"
"20180308","0530","0"
"20180308","0600","0"
"20180308","0630","0.049"
"20180308","0700","15.205"
"20180308","0730","60.11"
"20180308","0800","123.168"
"20180308","0830","191.896"
"20180308","0900","260.991"
"20180308","0930","326.918"
"20180308","1000","388.024"
"20180308","1030","442.032"
"20180308","1100","487.225"
"20180308","1130","521.549"
"20180308","1200","545.572"
"20180308","1230","-99"
"20180308","1300","-99"
"20180308","1330","-99"
"20180308","1400","-99"
"20180308","1430","523.052"
"20180308","1500","487.627"
"20180308","1530","442.712"
"20180308","1600","391.424"
"20180308","1630","332.368"
"20180308","1700","267.345"
"20180308","1730","200.171"
"20180308","1800","132.498"
"20180308","1830","69.387"
"20180308","1900","21.446"
"20180308","1930","1.32"
"20180308","2000","0"
"20180308","2030","0"
"20180308","2100","0"
"20180308","2130","0"
"20180308","2200","0"
"20180308","2230","0"
"20180308","2300","0"
"20180308","2330","0"
"20180309","0000","0"
"20180309","0030","0"
"20180309","0100","0"
"20180309","0130","0"
"20180309","0200","0"
"20180309","0230","0"
"20180309","0300","0"
"20180309","0330","0"
"20180309","0400","0"
"20180309","0430","0"
"20180309","0500","0"
"20180309","0530","0"
"20180309","0600","0"
"20180309","0630","0.021"
"20180309","0700","14.034"
"20180309","0730","58.559"
"20180309","0800","120.624"
"20180309","0830","189.213"
"20180309","0900","258.291"
"20180309","0930","323.997"
"20180309","1000","385.495"
"20180309","1030","439.561"
"20180309","1100","485.325"
"20180309","1130","521.157"
"20180309","1200","547.1"
"20180309","1230","560.899"
"20180309","1300","565.308"
"20180309","1330","562.018"
"20180309","1400","548.034"
"20180309","1430","524.897"
"20180309","1500","489.928"
"20180309","1530","445.876"
"20180309","1600","393.845"
"20180309","1630","334.324"
"20180309","1700","268.959"
"20180309","1730","200.419"
"20180309","1800","131.609"
"20180309","1830","67.953"
"20180309","1900","20.667"
"20180309","1930","0.932"
"20180309","2000","0"
"20180309","2030","0"
"20180309","2100","0"
"20180309","2130","0"
"20180309","2200","0"
"20180309","2230","0"
"20180309","2300","0"
"20180309","2330","0"
"20180310","0000","0"
"20180310","0030","0"
"20180310","0100","0"
"20180310","0130","0"
"20180310","0200","0"
"20180310","0230","0"
"20180310","0300","0"
"20180310","0330","0"
"20180310","0400","0"
"20180310","0430","0"
"20180310","0500","0"
"20180310","0530","0"
"20180310","0600","0"
"20180310","0630","0.015"
"20180310","0700","12.473"
"20180310","0730","57.592"
"20180310","0800","119.494"
"20180310","0830","187.887"
"20180310","0900","256.774"
"20180310","0930","322.438"
"20180310","1000","383.602"
"20180310","1030","437.35"
"20180310","1100","483.093"
"20180310","1130","519.184"
"20180310","1200","544.651"
"20180310","1230","558.246"
"20180310","1300","562.707"
"20180310","1330","560.27"
"20180310","1400","544.821"
"20180310","1430","522.956"
