REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/10/01 00:05:00,1376.74,17.22,TRADE
SA1,2021/10/01 00:10:00,1338.87,16.97,TRADE
SA1,2021/10/01 00:15:00,1323.73,8.57,TRADE
SA1,2021/10/01 00:20:00,1336.61,8.40,TRADE
SA1,2021/10/01 00:25:00,1326.17,8.49,TRADE
SA1,2021/10/01 00:30:00,1314.58,-0.77,TRADE
SA1,2021/10/01 00:35:00,1330.33,0,TRADE
SA1,2021/10/01 00:40:00,1336.27,0,TRADE
SA1,2021/10/01 00:45:00,1315.89,0.02,TRADE
SA1,2021/10/01 00:50:00,1317.81,0,TRADE
SA1,2021/10/01 00:55:00,1307.63,8.31,TRADE
SA1,2021/10/01 01:00:00,1311.18,8.31,TRADE
SA1,2021/10/01 01:05:00,1322.29,8.35,TRADE
SA1,2021/10/01 01:10:00,1309.42,8.30,TRADE
SA1,2021/10/01 01:15:00,1295.88,0.02,TRADE
SA1,2021/10/01 01:20:00,1301.2,8.46,TRADE
SA1,2021/10/01 01:25:00,1255.03,8.39,TRADE
SA1,2021/10/01 01:30:00,1233.51,0.02,TRADE
SA1,2021/10/01 01:35:00,1240.57,8.13,TRADE
SA1,2021/10/01 01:40:00,1231.54,8.13,TRADE
SA1,2021/10/01 01:45:00,1225.25,8.12,TRADE
SA1,2021/10/01 01:50:00,1213.89,8.12,TRADE
SA1,2021/10/01 01:55:00,1230.98,0.02,TRADE
SA1,2021/10/01 02:00:00,1224.65,-0.76,TRADE
SA1,2021/10/01 02:05:00,1209.36,-1,TRADE
SA1,2021/10/01 02:10:00,1205.68,8.36,TRADE
SA1,2021/10/01 02:15:00,1195.47,-1.02,TRADE
SA1,2021/10/01 02:20:00,1172.63,-10.09,TRADE
SA1,2021/10/01 02:25:00,1156.73,-0.79,TRADE
SA1,2021/10/01 02:30:00,1151.14,0,TRADE
SA1,2021/10/01 02:35:00,1144.45,-1.13,TRADE
SA1,2021/10/01 02:40:00,1148.72,-6.34,TRADE
SA1,2021/10/01 02:45:00,1123.95,-1.55,TRADE
SA1,2021/10/01 02:50:00,1115.63,7.95,TRADE
SA1,2021/10/01 02:55:00,1096.21,0.02,TRADE
SA1,2021/10/01 03:00:00,1100.33,-9.82,TRADE
SA1,2021/10/01 03:05:00,1074.8,0.02,TRADE
SA1,2021/10/01 03:10:00,1072.52,0.02,TRADE
SA1,2021/10/01 03:15:00,1071.91,-0.72,TRADE
SA1,2021/10/01 03:20:00,1070.57,0.02,TRADE
SA1,2021/10/01 03:25:00,1051.28,-0.75,TRADE
SA1,2021/10/01 03:30:00,1068.19,-0.77,TRADE
SA1,2021/10/01 03:35:00,1082.88,7.91,TRADE
SA1,2021/10/01 03:40:00,1071.97,-0.77,TRADE
SA1,2021/10/01 03:45:00,1065.14,-0.76,TRADE
