datetime,tempc,cloud8,windk,wdir,humid,rainmm,radkjm2,pv_est,net_load,total_load
2018-03-06 10:00:00,20.0,4.0,13.0,130.0,49.0,0.0,1490.0,347.111,1262.5,1095.83
2018-03-06 11:00:00,21.5,1.0,16.0,140.0,40.0,0.0,2340.0,458.019,1169.5,986.9449999999999
2018-03-06 12:00:00,23.0,2.0,15.0,150.0,34.0,0.0,2800.0,537.2945,1112.0,943.8299999999999
2018-03-06 13:00:00,24.1,2.0,11.0,140.0,30.0,0.0,3090.0,567.144,1093.5,915.595
2018-03-06 14:00:00,25.3,0.0,17.0,150.0,26.0,0.0,3110.0,562.2175,1105.0,893.565
2018-03-06 15:00:00,25.3,1.0,14.0,140.0,29.0,0.0,2850.0,516.827,1170.0,918.575
2018-03-06 16:00:00,25.0,2.0,16.0,150.0,32.0,0.0,2360.0,430.339,1248.0,988.525
2018-03-06 17:00:00,23.3,0.0,15.0,170.0,39.0,0.0,1720.0,312.47950000000003,1370.0,1094.12
2018-03-06 18:00:00,22.6,2.0,15.0,160.0,42.0,0.0,1050.0,176.232,1488.0,1205.99
2018-03-06 19:00:00,20.4,2.0,14.0,150.0,52.0,0.0,380.0,51.2635,1571.0,1309.42
2018-03-06 20:00:00,18.4,0.0,10.0,170.0,65.0,0.0,20.0,1.041,1588.5,1342.76
2018-03-06 21:00:00,18.1,2.0,7.0,170.0,69.0,0.0,0.0,0.0,1550.0,1336.195
2018-03-06 22:00:00,17.9,3.0,9.0,180.0,73.0,0.0,0.0,0.0,1471.5,1252.37
2018-03-06 23:00:00,18.0,0.0,9.0,170.0,74.0,0.0,0.0,0.0,1401.0,1191.3600000000001
2018-03-07 00:00:00,18.0,1.0,7.0,180.0,74.0,0.0,0.0,0.0,1443.0,1260.975
2018-03-07 01:00:00,19.0,1.0,12.0,130.0,64.0,0.0,0.0,0.0,1450.5,1271.275
2018-03-07 02:00:00,19.5,0.0,13.0,120.0,55.0,0.0,0.0,0.0,1321.5,1140.75
2018-03-07 03:00:00,19.4,1.0,11.0,120.0,55.0,0.0,0.0,0.0,1241.0,1066.1100000000001
2018-03-07 04:00:00,20.0,3.0,14.0,120.0,53.0,0.0,0.0,0.0,1218.0,1068.395
2018-03-07 05:00:00,18.8,0.0,3.0,310.0,57.0,0.0,0.0,0.0,1227.5,1093.3
2018-03-07 06:00:00,19.0,2.0,5.0,190.0,57.0,0.0,0.0,0.0,1325.0,1185.51
2018-03-07 07:00:00,21.3,2.0,4.0,10.0,49.0,0.0,30.0,7.388,1474.0,1338.97
2018-03-07 08:00:00,25.1,1.0,3.0,100.0,40.0,0.0,450.0,92.1685,1501.5,1379.625
2018-03-07 09:00:00,27.1,5.0,11.0,90.0,34.0,0.0,1090.0,226.7275,1423.5,1335.53
2018-03-07 10:00:00,29.0,5.0,8.0,40.0,33.0,0.0,1600.0,357.981,1351.5,1294.565
2018-03-07 11:00:00,28.7,0.0,6.0,20.0,38.0,0.0,2240.0,466.0265,1315.5,1279.53
2018-03-07 12:00:00,27.4,2.0,11.0,240.0,39.0,0.0,2740.0,537.597,1345.5,1311.775
2018-03-07 13:00:00,28.2,4.0,11.0,230.0,40.0,0.0,2680.0,535.4615,1451.5,1421.52
2018-03-07 14:00:00,30.2,3.0,11.0,230.0,37.0,0.0,2860.0,480.53150000000005,1566.5,1512.94
2018-03-07 15:00:00,30.5,5.0,12.0,220.0,36.0,0.0,2480.0,462.0835,1633.0,1565.385
2018-03-07 16:00:00,30.0,4.0,9.0,230.0,41.0,0.0,2190.0,394.8375,1712.5,1621.345
2018-03-07 17:00:00,32.6,3.0,9.0,120.0,25.0,0.0,1610.0,278.9445,1862.0,1761.365
2018-03-07 18:00:00,32.2,4.0,18.0,120.0,25.0,0.0,970.0,157.98899999999998,1947.0,1845.45
2018-03-07 19:00:00,28.4,3.0,18.0,140.0,32.0,0.0,360.0,46.065,1928.5,1786.67
2018-03-07 20:00:00,26.5,0.0,18.0,120.0,33.0,0.0,20.0,0.8005,1849.5,1707.745
2018-03-07 21:00:00,25.8,2.0,15.0,130.0,34.0,0.0,0.0,0.0,1760.0,1644.56
2018-03-07 22:00:00,25.0,3.0,16.0,130.0,37.0,0.0,0.0,0.0,1647.0,1548.62
2018-03-07 23:00:00,22.9,0.0,5.0,110.0,46.0,0.0,0.0,0.0,1533.0,1422.42
2018-03-08 00:00:00,21.3,1.0,7.0,120.0,52.0,0.0,0.0,0.0,1552.5,1453.615
2018-03-08 01:00:00,20.6,1.0,5.0,90.0,55.0,0.0,0.0,0.0,1524.5,1390.54
2018-03-08 02:00:00,22.5,0.0,9.0,80.0,36.0,0.0,0.0,0.0,1382.5,1247.1999999999998
2018-03-08 03:00:00,22.7,1.0,8.0,90.0,35.0,0.0,0.0,0.0,1319.0,1145.35
2018-03-08 04:00:00,20.0,2.0,7.0,90.0,43.0,0.0,0.0,0.0,1280.5,1124.065
2018-03-08 05:00:00,19.9,0.0,7.0,70.0,40.0,0.0,0.0,0.0,1282.5,1154.1950000000002
