weather_date,year,formatted_month,formatted_day,formatted_hour,formatted_minute,tempc,cloud8,windk,wdir,humid,rainmm,radkjm2
20180306,2018,03,06,10,00,21.5,1.0,16.0,140.0,40.0,0.0,2340.0
20180306,2018,03,06,11,00,23.0,2.0,15.0,150.0,34.0,0.0,2800.0
20180306,2018,03,06,12,00,24.1,2.0,11.0,140.0,30.0,0.0,3090.0
20180306,2018,03,06,13,00,25.3,0.0,17.0,150.0,26.0,0.0,3110.0
20180306,2018,03,06,14,00,25.3,1.0,14.0,140.0,29.0,0.0,2850.0
20180306,2018,03,06,15,00,25.0,2.0,16.0,150.0,32.0,0.0,2360.0
20180306,2018,03,06,16,00,23.3,0.0,15.0,170.0,39.0,0.0,1720.0
20180306,2018,03,06,17,00,22.6,2.0,15.0,160.0,42.0,0.0,1050.0
20180306,2018,03,06,18,00,20.4,2.0,14.0,150.0,52.0,0.0,380.0
20180306,2018,03,06,19,00,18.4,0.0,10.0,170.0,65.0,0.0,20.0
20180306,2018,03,06,20,00,18.1,2.0,7.0,170.0,69.0,0.0,0.0
20180306,2018,03,06,21,00,17.9,3.0,9.0,180.0,73.0,0.0,0.0
20180306,2018,03,06,22,00,18.0,0.0,9.0,170.0,74.0,0.0,0.0
20180306,2018,03,06,23,00,18.0,1.0,7.0,180.0,74.0,0.0,0.0
20180307,2018,03,07,1,00,19.5,0.0,13.0,120.0,55.0,0.0,0.0
20180307,2018,03,07,2,00,19.4,1.0,11.0,120.0,55.0,0.0,0.0
20180307,2018,03,07,3,00,20.0,3.0,14.0,120.0,53.0,0.0,0.0
20180307,2018,03,07,4,00,18.8,0.0,3.0,310.0,57.0,0.0,0.0
20180307,2018,03,07,5,00,19.0,2.0,5.0,190.0,57.0,0.0,0.0
20180307,2018,03,07,6,00,21.3,2.0,4.0,10.0,49.0,0.0,30.0
20180307,2018,03,07,7,00,25.1,1.0,3.0,100.0,40.0,0.0,450.0
20180307,2018,03,07,8,00,27.1,5.0,11.0,90.0,34.0,0.0,1090.0
20180307,2018,03,07,9,00,29.0,5.0,8.0,40.0,33.0,0.0,1600.0
20180307,2018,03,07,10,00,28.7,0.0,6.0,20.0,38.0,0.0,2240.0
20180307,2018,03,07,11,00,27.4,2.0,11.0,240.0,39.0,0.0,2740.0
20180307,2018,03,07,12,00,28.2,4.0,11.0,230.0,40.0,0.0,2680.0
20180307,2018,03,07,13,00,30.2,3.0,11.0,230.0,37.0,0.0,2860.0
20180307,2018,03,07,14,00,30.5,5.0,12.0,220.0,36.0,0.0,2480.0
20180307,2018,03,07,15,00,30.0,4.0,9.0,230.0,41.0,0.0,2190.0
20180307,2018,03,07,16,00,32.6,3.0,9.0,120.0,25.0,0.0,1610.0
